County,Positive_Cases,Deaths,Tested
Illinois,36934,1688,173316
Chicago,15073,641,0
Adams,29,0,0
Alexander,2,0,0
Bond,4,1,0
Boone,54,7,0
Bureau,8,0,0
Calhoun,1,0,0
Carroll,7,2,0
Cass,8,0,0
Champaign,99,5,0
Christian,26,4,0
Clark,4,0,0
Clay,2,0,0
Clinton,51,0,0
Coles,18,0,0
Cook,10738,501,0
Crawford,10,0,0
Cumberland,2,0,0
DeKalb,56,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,2047,118,0
Effingham,5,1,0
Fayette,15,2,0
Ford,8,1,0
Franklin,8,0,0
Fulton,1,0,0
Gallatin,2,0,0
Greene,2,0,0
Grundy,26,0,0
Hamilton,2,0,0
Hancock,4,0,0
Hardin,1,0,0
Henderson,3,0,0
Henry,33,0,0
Iroquois,14,0,0
Jackson,53,7,0
Jasper,40,2,0
Jefferson,77,1,0
Jersey,11,0,0
Jo Daviess,11,0,0
Johnson,3,0,0
Kane,863,39,0
Kankakee,289,19,0
Kendall,171,5,0
Knox,19,0,0
Lake,2540,100,0
LaSalle,39,1,0
Lawrence,2,0,0
Lee,18,0,0
Livingston,18,1,0
Logan,4,0,0
McDonough,4,0,0
McHenry,419,26,0
McLean,87,3,0
Macon,96,10,0
Macoupin,24,0,0
Madison,235,13,0
Marion,25,0,0
Marshall,4,0,0
Mason,6,0,0
Massac,3,0,0
Menard,4,0,0
Mercer,6,0,0
Monroe,60,8,0
Montgomery,21,1,0
Morgan,14,1,0
Moultrie,2,0,0
Ogle,71,1,0
Peoria,54,2,0
Perry,3,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,13,0,0
Randolph,68,1,0
Richland,2,0,0
Rock Island,247,6,0
St. Clair,330,19,0
Saline,3,0,0
Sangamon,76,5,0
Schuyler,1,0,0
Shelby,5,0,0
Stark,1,0,0
Stephenson,13,0,0
Tazewell,30,3,0
Unassigned,193,0,0
Union,6,0,0
Vermilion,10,0,0
Wabash,1,0,0
Warren,31,0,0
Washington,7,0,0
Wayne,1,0,0
White,1,0,0
Whiteside,49,3,0
Will,1885,119,0
Williamson,19,0,0
Winnebago,252,7,0
Woodford,11,1,0
