update_date,update_time,Zip,Positive_Cases,Tested
04-24-2020,14:43,53142,7,44
04-24-2020,14:43,60002,39,272
04-24-2020,14:43,60004,68,847
04-24-2020,14:43,60005,51,292
04-24-2020,14:43,60007,73,332
04-24-2020,14:43,60008,62,226
04-24-2020,14:43,60010,34,243
04-24-2020,14:43,60012,24,83
04-24-2020,14:43,60013,36,149
04-24-2020,14:43,60014,60,324
04-24-2020,14:43,60015,82,431
04-24-2020,14:43,60016,416,1170
04-24-2020,14:43,60018,154,493
04-24-2020,14:43,60020,14,91
04-24-2020,14:43,60021,6,35
04-24-2020,14:43,60022,17,130
04-24-2020,14:43,60025,163,773
04-24-2020,14:43,60026,73,264
04-24-2020,14:43,60030,49,358
04-24-2020,14:43,60031,106,501
04-24-2020,14:43,60033,26,125
04-24-2020,14:43,60035,133,577
04-24-2020,14:43,60040,29,88
04-24-2020,14:43,60041,12,78
04-24-2020,14:43,60042,7,52
04-24-2020,14:43,60043,14,56
04-24-2020,14:43,60044,41,172
04-24-2020,14:43,60045,78,319
04-24-2020,14:43,60046,63,370
04-24-2020,14:43,60047,54,252
04-24-2020,14:43,60048,50,272
04-24-2020,14:43,60050,66,253
04-24-2020,14:43,60051,24,200
04-24-2020,14:43,60053,115,499
04-24-2020,14:43,60056,180,725
04-24-2020,14:43,60060,99,368
04-24-2020,14:43,60061,54,260
04-24-2020,14:43,60062,109,644
04-24-2020,14:43,60064,219,395
04-24-2020,14:43,60067,44,315
04-24-2020,14:43,60068,124,523
04-24-2020,14:43,60069,21,130
04-24-2020,14:43,60070,54,201
04-24-2020,14:43,60073,178,613
04-24-2020,14:43,60074,97,352
04-24-2020,14:43,60076,212,945
04-24-2020,14:43,60077,174,749
04-24-2020,14:43,60081,21,85
04-24-2020,14:43,60083,31,118
04-24-2020,14:43,60084,67,126
04-24-2020,14:43,60085,711,1330
04-24-2020,14:43,60087,189,428
04-24-2020,14:43,60088,18,46
04-24-2020,14:43,60089,87,405
04-24-2020,14:43,60090,158,581
04-24-2020,14:43,60091,81,493
04-24-2020,14:43,60093,90,379
04-24-2020,14:43,60096,13,72
04-24-2020,14:43,60097,16,90
04-24-2020,14:43,60098,93,335
04-24-2020,14:43,60099,195,443
04-24-2020,14:43,60101,175,580
04-24-2020,14:43,60102,38,206
04-24-2020,14:43,60103,59,329
04-24-2020,14:43,60104,187,527
04-24-2020,14:43,60106,152,416
04-24-2020,14:43,60107,139,409
04-24-2020,14:43,60108,59,416
04-24-2020,14:43,60110,83,220
04-24-2020,14:43,60112,8,25
04-24-2020,14:43,60115,30,254
04-24-2020,14:43,60118,19,86
04-24-2020,14:43,60119,11,80
04-24-2020,14:43,60120,119,328
04-24-2020,14:43,60123,105,365
04-24-2020,14:43,60124,19,124
04-24-2020,14:43,60126,110,568
04-24-2020,14:43,60130,53,311
04-24-2020,14:43,60131,98,377
04-24-2020,14:43,60133,144,412
04-24-2020,14:43,60134,37,200
04-24-2020,14:43,60136,15,57
04-24-2020,14:43,60137,44,329
04-24-2020,14:43,60139,126,464
04-24-2020,14:43,60140,22,133
04-24-2020,14:43,60141,7,116
04-24-2020,14:43,60142,26,187
04-24-2020,14:43,60143,26,109
04-24-2020,14:43,60148,110,534
04-24-2020,14:43,60152,11,79
04-24-2020,14:43,60153,156,591
04-24-2020,14:43,60154,87,417
04-24-2020,14:43,60155,54,203
04-24-2020,14:43,60156,32,185
04-24-2020,14:43,60160,161,507
04-24-2020,14:43,60162,66,211
04-24-2020,14:43,60163,30,97
04-24-2020,14:43,60164,124,630
04-24-2020,14:43,60165,47,103
04-24-2020,14:43,60169,83,311
04-24-2020,14:43,60171,44,207
04-24-2020,14:43,60172,39,192
04-24-2020,14:43,60173,14,98
04-24-2020,14:43,60174,29,286
04-24-2020,14:43,60175,25,208
04-24-2020,14:43,60176,32,160
04-24-2020,14:43,60177,33,160
04-24-2020,14:43,60178,12,141
04-24-2020,14:43,60181,87,340
04-24-2020,14:43,60185,104,408
04-24-2020,14:43,60187,36,278
04-24-2020,14:43,60188,142,501
04-24-2020,14:43,60189,41,239
04-24-2020,14:43,60190,10,98
04-24-2020,14:43,60191,35,178
04-24-2020,14:43,60192,17,128
04-24-2020,14:43,60193,68,313
04-24-2020,14:43,60194,38,169
04-24-2020,14:43,60195,6,32
04-24-2020,14:43,60201,150,976
04-24-2020,14:43,60202,135,825
04-24-2020,14:43,60203,16,91
04-24-2020,14:43,60301,12,61
04-24-2020,14:43,60302,98,608
04-24-2020,14:43,60304,39,277
04-24-2020,14:43,60305,19,160
04-24-2020,14:43,60401,27,133
04-24-2020,14:43,60402,378,1371
04-24-2020,14:43,60403,56,404
04-24-2020,14:43,60404,44,286
04-24-2020,14:43,60406,125,482
04-24-2020,14:43,60408,6,65
04-24-2020,14:43,60409,242,900
04-24-2020,14:43,60410,14,144
04-24-2020,14:43,60411,345,1368
04-24-2020,14:43,60415,91,277
04-24-2020,14:43,60417,72,314
04-24-2020,14:43,60418,40,148
04-24-2020,14:43,60419,171,646
04-24-2020,14:43,60422,54,240
04-24-2020,14:43,60423,71,379
04-24-2020,14:43,60425,56,281
04-24-2020,14:43,60426,195,737
04-24-2020,14:43,60428,101,420
04-24-2020,14:43,60429,119,593
04-24-2020,14:43,60430,122,481
04-24-2020,14:43,60431,80,504
04-24-2020,14:43,60432,69,325
04-24-2020,14:43,60433,88,309
04-24-2020,14:43,60434,109,58
04-24-2020,14:43,60435,268,1131
04-24-2020,14:43,60436,59,399
04-24-2020,14:43,60438,145,596
04-24-2020,14:43,60439,46,274
04-24-2020,14:43,60440,217,1076
04-24-2020,14:43,60441,89,446
04-24-2020,14:43,60442,19,119
04-24-2020,14:43,60443,185,706
