County,Tested,Positive_Cases,Deaths
Illinois,3285348,202691,7721
Adams,20901,607,7
Alexander,1218,37,0
Bond,3602,69,3
Boone,9709,768,23
Brown,1079,15,0
Bureau,4739,262,4
Calhoun,502,12,0
Carroll,1907,72,4
Cass,3473,252,11
Champaign,103791,1737,19
Chicago,773746,65484,2822
Christian,6895,146,4
Clark,2563,91,2
Clay,1818,32,0
Clinton,7552,454,17
Coles,14094,564,21
Cook,636188,49240,2129
Crawford,1729,35,0
Cumberland,2309,61,3
De Witt,2147,39,0
DeKalb,17925,970,32
Douglas,4657,135,3
DuPage,208879,12693,525
Edgar,1999,34,0
Edwards,460,24,0
Effingham,6152,208,1
Fayette,2914,73,3
Ford,2688,57,2
Franklin,6343,222,1
Fulton,5585,42,0
Gallatin,474,51,2
Greene,1980,69,0
Grundy,7098,368,5
Hamilton,853,33,0
Hancock,3408,76,1
Hardin,532,18,0
Henderson,659,21,0
Henry,9827,274,1
Iroquois,6637,276,13
Jackson,11829,755,20
Jasper,1530,61,7
Jefferson,5671,320,20
Jersey,3096,143,2
Jo Daviess,3298,139,1
Johnson,1557,76,0
Kane,113043,10100,305
Kankakee,32715,1857,69
Kendall,22067,1443,23
Knox,9040,344,1
Lake,166450,13144,450
LaSalle,18620,910,28
Lawrence,2549,55,0
Lee,4529,191,1
Livingston,5406,140,3
Logan,8151,187,1
Macon,21571,721,23
Macoupin,11366,222,3
Madison,46694,2969,85
Marion,6069,172,0
Marshall,1847,35,0
Mason,2752,60,0
Massac,1828,43,0
McDonough,4313,149,15
McHenry,48916,3335,114
McLean,34761,730,15
Menard,2993,60,0
Mercer,2609,76,4
Monroe,4506,339,13
Montgomery,7909,179,7
Morgan,9185,353,9
Moultrie,2480,103,0
Ogle,8951,429,5
Out Of State,37377,1,0
Peoria,51679,1807,37
Perry,3615,193,3
Piatt,4577,66,0
Pike,1733,32,0
Pope,349,11,0
Pulaski,910,101,1
Putnam,585,13,0
Randolph,6718,497,7
Richland,2764,24,0
Rock Island,38608,1831,38
Saline,3924,136,2
Sangamon,65543,1391,35
Schuyler,1205,18,0
Scott,1236,32,0
Shelby,3966,94,2
St. Clair,49840,4289,162
Stark,1073,7,0
Stephenson,7609,340,6
Tazewell,34380,653,9
Unassigned,51502,49,0
Union,3854,339,23
Vermilion,15106,259,2
Wabash,1225,49,0
Warren,2311,196,0
Washington,1717,69,1
Wayne,1915,72,2
White,1727,80,0
Whiteside,9032,384,17
Will,137435,9692,348
Williamson,14314,499,7
Winnebago,57993,3835,134
Woodford,6789,171,3
