County,Tested,Positive_Cases,Deaths
Illinois,538602,90369,4058
Adams,3045,42,1
Alexander,100,8,0
Bond,210,11,1
Boone,1496,274,14
Brown,266,9,0
Bureau,511,15,1
Calhoun,41,1,0
Carroll,121,12,2
Cass,707,67,0
Champaign,6645,344,7
Chicago,155725,35183,1606
Christian,605,30,4
Clark,173,9,0
Clay,214,2,0
Clinton,1108,159,13
Coles,1209,67,4
Cook,120215,24722,1156
Crawford,230,11,0
Cumberland,150,8,0
De Witt,348,4,0
DeKalb,2115,229,2
Douglas,497,22,0
DuPage,32361,5634,287
Edgar,221,1,0
Edwards,95,2,0
Effingham,311,6,1
Fayette,267,19,2
Ford,301,16,1
Franklin,854,11,0
Fulton,408,6,0
Gallatin,63,2,0
Greene,159,4,0
Grundy,979,73,1
Hamilton,118,2,0
Hancock,418,12,0
Hardin,35,1,0
Henderson,142,7,0
Henry,899,64,0
Iroquois,749,111,3
Jackson,1508,177,10
Jasper,319,45,7
Jefferson,946,98,17
Jersey,182,18,1
Jo Daviess,371,18,0
Johnson,180,7,0
Kane,17515,4159,107
Kankakee,4756,647,31
Kendall,3024,531,17
Knox,1294,84,0
Lake,25565,6157,207
LaSalle,2096,117,7
Lawrence,208,4,0
Lee,925,73,1
Livingston,607,25,1
Logan,713,10,0
Macon,1801,159,17
Macoupin,1278,41,1
Madison,3444,464,38
Marion,1000,47,0
Marshall,186,5,0
Mason,392,16,0
Massac,154,6,0
McDonough,714,58,2
McHenry,7054,1123,62
McLean,4125,132,4
Menard,345,17,0
Mercer,237,14,0
Monroe,360,83,11
Montgomery,758,36,1
Morgan,713,35,1
Moultrie,176,7,0
Ogle,1677,165,2
Out Of State,1466,86,1
Peoria,5140,156,6
Perry,501,38,0
Piatt,351,8,0
Pike,118,1,0
Pope,36,1,0
Pulaski,182,40,0
Randolph,1260,234,3
Richland,397,3,0
Rock Island,3012,563,18
Saline,347,6,0
Sangamon,6716,299,25
Schuyler,169,7,0
Shelby,202,12,1
St. Clair,4408,765,63
Stark,80,1,0
Stephenson,829,135,0
Tazewell,3499,62,3
Unassigned,11711,50,1
Union,842,117,4
Vermilion,1428,29,1
Wabash,194,1,0
Warren,564,105,0
Washington,276,17,0
Wayne,418,8,1
White,228,2,0
Whiteside,1453,113,8
Will,24074,4277,237
Williamson,1481,51,1
Winnebago,10857,1390,33
Woodford,661,14,1
