Zip,Tested,Positive_Cases
60002,"4,173",224
60004,"20,750",694
60005,"11,236",454
60007,"9,547",596
60008,"9,188",567
60010,"12,613",546
60012,"2,871",159
60013,"5,370",303
60014,"11,232",694
60015,"9,131",346
60016,"19,527","1,554"
60018,"12,626",964
60020,"2,760",123
60021,"1,030",55
60022,"2,769",80
60025,"13,424",689
60026,"6,889",268
60029,241,20
60030,"10,002",451
60031,"12,135",685
60033,"4,183",471
60034,511,22
60035,"13,089",428
60040,"2,578",216
60041,"2,276",111
60042,"1,860",111
60043,873,37
60044,"4,910",178
60045,"7,330",228
60046,"8,770",499
60047,"15,010",803
60048,"8,504",361
60050,"7,888",423
60051,"5,472",267
60053,"9,515",477
60056,"15,717","1,038"
60060,"9,406",781
60061,"7,292",342
60062,"19,462",572
60064,"5,374","1,221"
60067,"16,397",637
60068,"12,320",635
60069,"5,927",155
60070,"5,973",390
60071,911,46
60072,197,6
60073,"18,577","1,904"
60074,"10,365",804
60076,"12,762",807
60077,"9,498",621
60079,419,18
60081,"1,917",123
60083,"2,985",196
60084,"5,318",287
60085,"27,916","3,495"
60087,"9,767","1,096"
60088,"1,913",536
60089,"11,910",540
60090,"14,220","1,170"
60091,"8,385",317
60093,"6,817",294
60096,"1,507",108
60097,"2,473",124
60098,"10,266",675
60099,"9,517",969
60101,"11,047","1,262"
60102,"7,268",493
60103,"12,192",724
60104,"6,838",683
60106,"8,066",728
60107,"12,362","1,126"
60108,"11,275",597
60109,474,18
60110,"9,484","1,220"
60112,"1,256",76
60115,"14,141",813
60118,"3,891",210
60119,"2,706",121
60120,"14,554","1,989"
60121,163,7
60123,"16,847","1,473"
60124,"6,281",396
60126,"17,238",872
60130,"9,456",296
60131,"5,609",606
60133,"12,435","1,202"
60134,"8,708",473
60135,"1,881",120
60136,"1,890",136
60137,"12,760",551
60139,"10,441","1,014"
60140,"4,347",271
60141,"1,574",29
60142,"7,156",336
60143,"3,774",323
60145,478,27
60146,674,33
60148,"17,240",832
60150,413,15
60151,950,43
60152,"2,861",156
60153,"7,763",773
60154,"6,024",352
60155,"2,522",258
60156,"6,273",408
60157,675,39
60160,"8,495","1,113"
60161,61,6
60162,"4,038",237
60163,"1,839",195
60164,"11,702",841
60165,"1,345",244
60168,59,7
60169,"9,043",657
60171,"3,163",233
60172,"7,020",459
60173,"2,993",208
60174,"11,282",560
60175,"9,614",453
60176,"3,025",329
60177,"7,785",623
60178,"5,533",212
60180,326,12
60181,"8,636",559
60184,613,34
60185,"11,774","1,146"
60187,"13,736",365
60188,"13,044",906
60189,"9,678",373
60190,"4,102",158
60191,"3,893",373
60192,"3,646",166
60193,"12,690",581
60194,"7,982",314
60195,"1,028",46
60201,"16,722",526
60202,"14,351",593
60203,"1,679",56
60301,"1,142",56
60302,"13,709",456
60303,123,6
60304,"6,504",190
60305,"4,340",159
60401,"2,799",129
60402,"22,101","2,467"
60403,"5,749",424
60404,"5,831",322
60406,"8,864",872
60407,335,9
60408,"1,611",82
60409,"13,188","1,067"
60410,"2,927",181
60411,"19,409","1,593"
60415,"4,285",426
60416,"2,101",129
60417,"5,988",319
60418,"2,470",215
60419,"9,387",652
60420,"1,226",35
60421,759,36
60422,"3,631",200
60423,"7,931",497
60424,415,20
60425,"3,851",271
60426,"9,167",775
60428,"3,977",356
60429,"5,950",411
60430,"7,244",428
60431,"7,598",526
60432,"5,933",760
60433,"5,293",521
60434,"1,980",272
60435,"17,283","1,287"
60436,"5,801",494
60438,"9,932",829
60439,"8,123",389
60440,"19,175","1,426"
60441,"7,754",585
60442,"2,278",142
60443,"7,819",647
60444,299,10
60445,"6,744",403
60446,"12,960","1,000"
60447,"3,098",158
60448,"5,587",335
60449,"2,623",162
60450,"4,371",296
60451,"7,964",466
60452,"7,082",543
60453,"19,483","1,691"
60454,51,7
60455,"6,058",627
60456,"1,176",88
60457,"4,045",326
60458,"4,353",366
60459,"8,259",904
60461,"1,835",111
60462,"12,007",822
60463,"5,244",394
60464,"2,672",162
60465,"4,376",585
