Zip,Tested,Positive_Cases
60002,"4,030",217
60004,"20,141",672
60005,"10,874",448
60007,"9,247",579
60008,"8,946",558
60010,"12,137",532
60012,"2,812",154
60013,"5,223",297
60014,"10,883",676
60015,"8,827",344
60016,"18,928","1,534"
60018,"12,350",947
60020,"2,693",117
60021,995,54
60022,"2,692",76
60025,"13,003",679
60026,"6,766",265
60029,231,20
60030,"9,672",443
60031,"11,791",672
60033,"4,062",463
60034,493,21
60035,"12,650",416
60040,"2,500",212
60041,"2,185",108
60042,"1,803",109
60043,854,36
60044,"4,684",177
60045,"7,004",225
60046,"8,475",486
60047,"14,674",794
60048,"8,275",354
60050,"7,677",418
60051,"5,297",258
60053,"9,215",473
60056,"15,193","1,021"
60060,"9,162",771
60061,"7,090",338
60062,"18,408",567
60064,"5,257","1,163"
60067,"15,633",611
60068,"11,983",618
60069,"5,841",152
60070,"5,596",381
60071,880,46
60073,"18,044","1,884"
60074,"10,009",778
60076,"12,473",799
60077,"9,108",614
60079,320,18
60081,"1,870",121
60083,"2,906",194
60084,"5,056",283
60085,"26,953","3,467"
60087,"9,511","1,091"
60088,"1,840",536
60089,"11,592",532
60090,"13,807","1,150"
60091,"8,143",314
60093,"6,589",291
60096,"1,462",105
60097,"2,376",121
60098,"9,981",666
60099,"9,287",956
60101,"10,776","1,217"
60102,"6,922",471
60103,"11,782",702
60104,"6,681",675
60106,"7,922",722
60107,"11,986","1,100"
60108,"10,884",575
60109,470,18
60110,"9,197","1,197"
60112,"1,201",74
60115,"13,286",760
60118,"3,764",198
60119,"2,602",113
60120,"14,173","1,943"
60123,"16,432","1,441"
60124,"6,029",382
60126,"16,755",826
60130,"9,194",287
60131,"5,465",592
60133,"12,116","1,172"
60134,"8,401",464
60135,"1,807",118
60136,"1,823",134
60137,"12,377",535
60139,"10,177",997
60140,"4,207",264
60141,"1,540",29
60142,"6,970",331
60143,"3,648",320
60145,461,26
60146,634,32
60148,"16,768",807
60150,396,15
60151,912,41
60152,"2,755",151
60153,"7,595",761
60154,"5,855",342
60155,"2,458",254
60156,"6,072",399
60157,645,38
60160,"8,286","1,096"
60161,61,6
60162,"3,936",233
60163,"1,777",186
60164,"11,480",834
60165,"1,328",243
60168,58,7
60169,"8,779",642
60171,"3,098",226
60172,"6,820",446
60173,"2,890",200
60174,"10,778",546
60175,"9,329",443
60176,"2,929",324
60177,"7,463",606
60178,"5,293",205
60180,313,9
60181,"8,291",546
60184,596,34
60185,"11,501","1,129"
60187,"13,165",359
60188,"12,701",890
60189,"9,348",367
60190,"3,985",153
60191,"3,782",360
60192,"3,508",161
60193,"12,146",562
60194,"7,808",307
60195,976,43
60201,"16,163",516
60202,"13,563",584
60203,"1,619",54
60301,"1,107",54
60302,"13,294",446
60303,120,6
60304,"6,294",186
60305,"4,228",155
60401,"2,653",124
60402,"21,461","2,408"
60403,"5,608",417
60404,"5,697",313
60406,"8,469",854
60407,328,9
60408,"1,560",75
60409,"12,888","1,052"
60410,"2,837",175
60411,"18,762","1,555"
60415,"4,206",412
60416,"2,030",125
