Zip,Positive_Cases,Tested
53142,7,58
60002,48,310
60004,81,945
60005,55,342
60007,86,394
60008,79,270
60010,39,296
60012,38,109
60013,39,176
60014,66,398
60015,91,492
60016,478,1374
60018,189,602
60020,15,114
60021,6,53
60022,17,151
60025,176,860
60026,78,300
60030,56,421
60031,118,566
60033,39,151
60035,138,651
60040,36,99
60041,16,90
60042,7,62
60043,14,69
60044,42,211
60045,83,365
60046,66,417
60047,60,299
60048,53,308
60050,80,317
60051,31,231
60053,123,548
60056,209,844
60060,120,435
60061,61,297
60062,123,734
60064,241,456
60067,49,372
60068,140,632
60069,26,148
60070,66,241
60073,201,726
60074,108,433
60076,231,1058
60077,187,823
60081,23,91
60083,36,136
60084,76,144
60085,822,1552
60087,217,495
60088,21,52
60089,91,473
60090,191,671
60091,87,541
60093,94,434
60096,14,81
60097,18,115
60098,103,376
60099,213,523
60101,233,691
60102,41,243
60103,73,404
60104,201,599
60106,179,486
60107,163,502
60108,71,458
60110,109,297
60112,9,36
60115,34,313
60118,22,109
60119,11,94
60120,174,439
60123,121,434
60124,18,151
60126,121,648
60130,58,362
60131,106,434
60133,188,505
60134,42,244
60135,6,55
60136,16,70
60137,49,379
60139,168,560
60140,23,159
60141,6,120
60142,30,225
60143,35,151
60148,121,607
60152,13,105
60153,182,668
60154,91,468
60155,74,234
60156,39,231
60160,192,624
60162,72,235
60163,31,116
60164,155,732
60165,50,120
60169,96,367
60171,44,230
60172,47,221
60173,19,116
60174,36,332
60175,27,242
60176,39,196
60177,40,207
60178,12,159
60181,90,393
60185,140,498
60187,39,325
60188,169,584
60189,41,289
60190,11,129
60191,48,217
60192,20,149
60193,77,398
60194,42,206
60195,6,36
60201,165,1086
60202,149,916
60203,17,108
60301,12,67
60302,102,679
60304,44,331
60305,24,190
60401,26,149
60402,435,1593
60403,67,447
60404,45,331
60406,144,576
60408,6,70
60409,260,1036
60410,15,162
60411,419,1711
60415,95,306
60417,74,344
60418,42,178
60419,179,741
60422,54,283
60423,76,429
60425,59,318
60426,215,860
60428,111,497
60429,124,674
60430,139,550
60431,83,556
60432,84,375
60433,95,339
60434,132,63
60435,287,1278
60436,64,443
60438,159,683
60439,47,314
60440,249,1229
60441,98,504
60442,20,138
60443,198,812
60445,64,318
60446,168,828
60447,13,210
60448,59,290
60449,43,245
60450,15,169
60451,52,375
60452,78,426
60453,273,1001
60455,161,609
60456,17,74
60457,52,193
60458,36,255
60459,131,482
60461,36,179
60462,117,576
60463,66,259
60464,18,126
60465,70,282
60466,317,1084
60467,86,366
60468,14,53
60469,27,110
60471,118,503
60472,40,181
60473,220,792
60475,44,200
60476,9,48
60477,96,565
60478,154,771
60480,14,101
60481,12,132
60482,27,179
60484,59,231
60487,62,353
60490,74,428
60491,75,312
60501,75,239
60502,31,198
60503,18,121
60504,75,372
60505,290,654
60506,211,725
60510,33,283
60513,65,433
60514,25,174
60515,33,263
60516,48,317
60517,86,455
60521,46,343
60523,40,211
60525,108,673
60526,30,280
60527,147,664
60532,55,290
60534,47,193
60538,57,256
60540,48,509
60542,28,211
60543,67,331
60544,63,495
60545,19,102
60546,67,355
60548,9,77
60551,15,29
60554,11,101
60555,39,153
60558,17,168
60559,121,379
60560,29,177
60561,61,349
60563,56,435
60564,63,433
60565,90,424
60585,39,269
60586,127,771
60601,43,256
60604,6,28
60605,104,592
60606,28,187
60607,195,825
60608,558,1866
60609,512,1442
60610,130,752
60611,85,740
