Zip,Tested,Positive_Cases
53142,138,9
60002,536,67
60004,2359,202
60005,716,110
60007,836,175
60008,866,197
60010,724,70
60012,228,67
60013,395,61
60014,988,122
60015,772,134
60016,2584,786
60018,1218,365
60020,258,25
60021,97,15
60022,229,23
60025,1424,250
60026,482,103
60030,865,119
60031,1181,218
60033,391,97
60035,1075,177
60040,221,86
60041,198,32
60042,155,20
60043,102,14
60044,364,70
60045,620,101
60046,776,131
60047,728,127
60048,604,86
60050,772,134
60051,535,70
60053,916,211
60056,1620,413
60060,1021,287
60061,594,122
60062,1546,234
60064,900,464
60067,820,113
60068,1023,231
60069,260,49
60070,485,135
60071,72,7
60073,1843,559
60074,1057,237
60076,1662,358
60077,1387,292
60079,31,10
60081,199,32
60083,303,72
60084,354,126
60085,3905,1704
60087,1412,451
60088,85,42
60089,851,152
60090,1399,412
60091,883,118
60093,715,115
60096,164,23
60097,248,31
60098,892,230
60099,1166,364
60101,1518,489
60102,577,83
60103,1002,168
60104,1080,310
60106,1200,366
60107,1331,356
60108,1279,156
60109,273,11
60110,994,355
60112,111,17
60115,831,78
60118,293,44
60119,238,22
60120,1871,724
60123,1500,423
60124,417,61
60126,1317,183
60130,790,94
60131,879,241
60133,1481,439
60134,587,97
60135,162,23
60136,172,32
60137,834,105
60139,1353,372
60140,384,56
60141,218,8
60142,634,52
60143,505,111
60146,45,8
60148,1338,208
60151,90,11
60152,247,47
60153,1354,315
60154,839,144
60155,435,127
60156,587,84
60157,57,9
60160,1435,457
60162,448,106
60163,249,63
60164,1524,336
60165,301,126
60169,938,244
60171,434,75
60172,649,149
60173,235,54
60174,1065,100
60175,536,57
60176,427,100
60177,586,168
60178,376,29
60181,852,166
60185,1545,455
60187,772,82
60188,1461,336
60189,676,62
60190,383,26
60191,484,123
60192,291,31
60193,843,150
60194,475,78
60195,82,10
60201,1720,251
60202,1503,278
60203,183,23
60301,119,18
60302,1217,161
60304,556,61
60305,359,36
60401,286,34
60402,3472,937
60403,769,129
60404,653,84
60406,1372,328
60408,119,13
60409,2050,413
60410,332,29
60411,3275,654
60415,524,147
60417,699,114
60418,313,69
60419,1437,271
60420,74,6
60421,87,8
60422,511,72
60423,756,109
60425,651,103
60426,1761,337
60428,894,155
60429,1227,183
60430,1100,219
60431,954,130
60432,802,195
60433,692,188
60434,96,134
60435,2388,476
60436,823,134
60438,1342,263
60439,580,67
60440,2484,608
60441,908,155
60442,236,31
60443,1352,278
60445,717,110
60446,1698,340
60447,349,29
60448,546,100
60449,413,59
60450,332,25
60451,646,77
60452,922,143
60453,2174,537
60455,980,234
60456,184,35
60457,386,95
60458,556,92
60459,1125,279
60461,311,46
60462,1142,198
60463,563,160
60464,248,35
60465,600,174
60466,1753,409
60467,658,120
60468,134,24
60469,263,44
60471,839,171
60472,352,52
60473,1555,303
60475,388,58
60476,109,14
60477,1109,174
60478,1476,261
60480,177,24
60481,247,17
60482,347,68
60484,423,95
60487,692,100
60490,723,118
60491,549,106
60501,552,188
60502,473,59
60503,297,44
60504,1002,200
60505,2840,1136
60506,2608,633
60510,668,67
60513,894,114
60514,321,35
60515,568,61
60516,656,81
60517,968,153
60520,54,8
60521,712,170
60523,426,81
60525,1387,202
60526,621,56
60527,1226,184
60532,628,86
60534,470,107
60538,763,183
60540,983,85
60542,550,81
60543,822,169
60544,930,117
60545,467,104
60546,972,108
60548,292,43
60551,63,17
60552,80,6
60554,275,25
60555,430,85
60558,343,31
60559,1032,247
60560,431,56
60561,721,85
60563,1054,121
60564,878,101
60565,828,144
60585,493,55
60586,1412,231
60601,508,67
60602,91,10
60604,71,16
60605,1062,148
60606,343,41
60607,1329,364
60608,4107,1228
60609,3247,1115
60610,1409,189
60611,1598,113
60612,2622,507
60613,1576,322
60614,2711,421
60615,1992,300
60616,2099,319
60617,4229,748
60618,3466,823
60619,3744,712
60620,3945,879
60621,1664,407
60622,2152,458
60623,5367,2325
60624,2284,610
60625,3157,951
60626,2710,728
60628,3490,814
60629,5585,2122
60630,2376,544
60631,1619,197
60632,4760,2028
60633,1340,206
60634,4668,985
60636,1658,522
60637,2912,457
60638,3297,802
60639,5698,2215
60640,2947,617
60641,3387,927
60642,757,112
60643,3119,583
60644,3351,861
60645,2963,812
60646,1546,272
60647,3481,897
60649,2904,597
60651,3542,1134
60652,2242,621
60653,1998,391
60654,669,122
60655,1584,203
60656,1330,191
60657,2138,265
60659,1732,529
60660,1300,297
60661,294,35
60706,1442,252
60707,2501,568
60712,615,130
60714,1799,556
60803,866,177
60804,5398,1975
60805,743,184
60827,1315,257
60901,1862,341
60911,37,6
60912,21,6
60914,913,100
60915,408,37
60922,94,10
60927,122,43
60928,14,7
60950,581,59
60954,300,21
60955,37,10
60958,76,18
60964,133,20
60970,163,10
61008,1020,233
61010,136,7
61012,40,8
61016,173,21
61021,628,59
61032,520,106
61054,99,6
61061,133,7
61064,61,9
61065,225,20
61068,820,115
61071,180,26
61072,220,21
61073,398,33
61080,183,26
61081,302,57
61084,35,6
61088,126,6
61101,1055,150
61102,853,130
61103,1122,137
61104,761,159
61107,1154,113
61108,1067,190
61109,922,145
61111,631,59
61114,470,60
61115,580,59
61201,710,149
61235,52,8
61240,91,8
61241,130,14
61244,499,139
61252,59,13
61254,228,8
61264,199,19
61265,904,169
61270,98,6
61275,61,9
61282,160,32
61341,248,30
61342,120,16
61350,320,16
61354,209,6
61356,177,6
61401,944,66
61410,61,6
61443,237,16
61455,448,47
61462,455,95
61469,63,6
61525,173,6
61554,834,16
61603,625,22
61604,935,24
61605,468,14
61610,110,6
61611,528,18
61614,724,44
61615,585,21
61701,1059,40
61704,851,25
61705,316,9
61761,1000,38
61764,228,11
61801,584,25
61802,751,44
61820,665,49
61821,936,45
61822,687,31
61832,518,18
61853,380,11
61866,692,91
61874,221,11
61910,79,6
61920,402,46
61938,346,13
61953,147,11
62002,396,75
62010,95,12
62012,56,6
62018,43,6
62024,69,7
62025,493,106
62034,183,53
62035,137,18
62040,448,66
62052,78,13
62056,163,12
62060,60,17
62062,160,7
62069,72,8
62088,211,6
62090,16,9
62095,111,16
62201,70,13
62203,131,26
62204,142,33
62205,169,37
62206,323,74
62207,139,52
62208,207,45
62220,222,87
62221,303,71
62223,173,42
62226,539,100
62230,90,7
62231,259,75
62232,65,8
62233,334,88
62234,327,43
62236,119,38
62237,187,6
62239,35,11
62249,119,10
62254,100,24
62257,51,8
62258,84,14
62265,176,23
62269,309,61
62272,122,44
62274,103,9
62278,108,15
62285,36,7
62286,211,30
62288,151,32
62293,48,8
62294,125,16
62295,16,7
62298,167,38
62301,1167,20
62305,147,15
62353,180,6
62448,246,36
62454,114,8
62471,132,16
62521,680,90
62522,151,25
62526,353,28
62560,32,6
62565,74,9
62568,268,26
62618,463,54
62629,351,11
62650,497,26
62656,460,10
62664,89,10
62675,167,6
62681,131,6
62684,322,69
62702,1138,55
62703,968,48
62704,1056,36
62707,193,13
62711,496,19
62801,630,50
62832,247,16
62837,262,9
62864,652,82
62882,78,9
62901,650,95
62902,94,13
62906,410,47
62907,48,12
62918,213,14
62920,185,53
62948,251,8
62959,603,24
62966,416,47
62992,99,25
