County,Tested,Positive_Cases,Deaths
Illinois,1022074,126890,5864
Adams,4555,46,1
Alexander,253,15,0
Bond,410,12,1
Boone,3597,500,18
Brown,408,10,0
Bureau,1222,21,1
Calhoun,74,1,0
Carroll,308,17,2
Cass,1032,73,0
Champaign,15408,679,8
Chicago,281986,47904,2251
Christian,1412,35,4
Clark,417,11,0
Clay,403,2,0
Clinton,2290,193,17
Coles,3003,138,17
Cook,227213,34020,1662
Crawford,358,11,0
Cumberland,367,10,0
De Witt,631,4,0
DeKalb,5658,451,9
Douglas,948,28,0
DuPage,63736,8046,400
Edgar,743,1,0
Edwards,147,2,0
Effingham,859,8,1
Fayette,712,21,3
Ford,738,21,1
Franklin,1686,12,0
Fulton,1322,12,0
Gallatin,104,2,0
Greene,348,6,0
Grundy,1873,113,2
Hamilton,213,2,0
Hancock,756,17,1
Hardin,78,1,0
Henderson,242,8,0
Henry,1760,70,0
Iroquois,1581,135,5
Jackson,3365,300,11
Jasper,512,46,7
Jefferson,1503,101,16
Jersey,312,24,1
Jo Daviess,647,33,1
Johnson,374,12,0
Kane,39546,6734,210
Kankakee,9446,999,54
Kendall,7130,845,19
Knox,2170,103,0
Lake,51434,8690,342
LaSalle,3960,160,16
Lawrence,459,4,0
Lee,1481,88,1
Livingston,1366,36,2
Logan,1966,10,0
Macon,4160,202,21
Macoupin,2732,46,2
Madison,7503,634,65
Marion,1760,55,0
Marshall,444,5,0
Mason,931,18,0
Massac,334,7,0
McDonough,1544,92,13
McHenry,14461,1707,83
McLean,8399,226,13
Menard,848,22,0
Mercer,550,18,0
Monroe,611,100,12
Montgomery,1404,41,1
Morgan,1704,46,1
Moultrie,443,12,0
Ogle,2807,223,3
Out Of State,5623,115,1
Peoria,10911,309,11
Perry,831,42,0
Piatt,758,11,0
Pike,357,1,0
Pope,75,1,0
Pulaski,297,58,0
Putnam,149,1,0
Randolph,1989,274,4
Richland,514,4,0
Rock Island,7244,711,25
Saline,670,7,0
Sangamon,16453,362,31
Schuyler,288,13,0
Shelby,714,16,1
St. Clair,10495,1296,93
Stark,151,3,0
Stephenson,2767,214,5
Tazewell,7242,81,6
Unassigned,28323,77,0
Union,1489,170,14
Vermilion,2870,42,1
Wabash,328,12,0
Warren,826,125,0
Washington,477,20,0
Wayne,649,9,1
White,345,2,0
Whiteside,2328,155,13
Will,47974,5858,285
Williamson,2921,76,3
Winnebago,22714,2507,70
Woodford,1524,21,2
