Zip,Tested,Positive_Cases
60002,"4,574",255
60004,"22,581",752
60005,"12,402",484
60007,"10,551",636
60008,"9,896",594
60010,"13,787",601
60012,"3,201",159
60013,"5,893",317
60014,"12,432",750
60015,"10,316",379
60016,"21,221","1,617"
60018,"13,947","1,001"
60020,"3,005",134
60021,"1,115",60
60022,"3,038",85
60025,"14,669",725
60026,"7,286",281
60029,260,21
60030,"10,973",495
60031,"13,189",762
60033,"4,582",493
60034,554,24
60035,"14,389",450
60040,"3,224",233
60041,"2,480",130
60042,"2,010",119
60043,935,38
60044,"5,595",197
60045,"8,140",239
60046,"9,502",538
60047,"16,196",849
60048,"9,647",386
60050,"8,788",444
60051,"6,058",301
60053,"10,674",515
60056,"17,115","1,092"
60060,"10,304",818
60061,"8,010",386
60062,"21,590",599
60064,"5,781","1,294"
60067,"18,108",696
60068,"13,747",669
60069,"6,512",170
60070,"6,615",414
60071,988,51
60072,231,7
60073,"19,920","1,987"
60074,"11,404",867
60076,"13,745",853
60077,"11,010",641
60079,528,17
60081,"2,128",137
60083,"3,287",209
60084,"5,895",306
60085,"30,116","3,600"
60087,"10,627","1,166"
60088,"2,182",546
60089,"13,215",579
60090,"15,692","1,228"
60091,"9,237",337
60093,"7,425",315
60096,"1,636",120
60097,"2,734",136
60098,"11,117",697
60099,"10,269","1,018"
60101,"11,938","1,337"
60102,"7,972",545
60103,"13,753",786
60104,"7,293",699
60106,"8,675",760
60107,"13,520","1,192"
60108,"12,388",627
60109,497,19
60110,"10,333","1,274"
60112,"1,390",84
60115,"16,222",928
60118,"4,297",237
60119,"3,031",136
60120,"15,642","2,096"
60121,172,7
60123,"18,021","1,552"
60124,"6,921",420
60126,"19,477",988
60130,"10,051",307
60131,"6,030",635
60133,"13,666","1,277"
60134,"9,730",514
60135,"2,065",128
60136,"2,083",150
60137,"14,080",602
60139,"11,240","1,057"
60140,"4,832",300
60141,"1,618",32
60142,"8,170",374
60143,"4,101",327
60145,543,29
60146,762,41
60148,"18,962",896
60150,467,19
60151,"1,060",46
60152,"3,198",176
60153,"8,394",800
60154,"6,503",369
60155,"2,774",269
60156,"6,893",443
60157,749,41
