County,Tested,Positive_Cases,Deaths
Illinois,489359,84698,3792
Adams,2092,41,1
Alexander,93,8,0
Bond,175,10,1
Boone,1277,253,13
Brown,238,9,0
Bureau,469,15,1
Calhoun,41,1,0
Carroll,112,12,2
Cass,678,62,0
Champaign,5704,318,6
Chicago,144058,33074,1493
Christian,518,30,4
Clark,131,8,0
Clay,181,2,0
Clinton,877,142,13
Coles,721,62,2
Cook,110923,23332,1096
Crawford,210,11,0
Cumberland,98,7,0
De Witt,324,3,0
DeKalb,1912,211,2
Douglas,350,22,0
DuPage,29783,5244,271
Edwards,83,2,0
Effingham,202,6,1
Fayette,235,17,2
Ford,272,14,1
Franklin,775,12,0
Fulton,341,4,0
Gallatin,55,2,0
Greene,141,4,0
Grundy,905,62,1
Hamilton,103,2,0
Hancock,395,12,0
Hardin,31,1,0
Henderson,129,7,0
Henry,854,61,0
Iroquois,683,101,3
Jackson,1342,171,10
Jasper,257,45,7
Jefferson,855,97,16
Jersey,170,17,1
Jo Daviess,339,19,1
Johnson,144,6,0
Kane,15603,3744,98
Kankakee,4393,607,31
Kendall,2740,496,15
Knox,1155,79,0
Lake,22834,5758,194
LaSalle,1951,111,5
Lawrence,191,4,0
Lee,826,70,0
Livingston,575,25,1
Logan,623,11,0
Macon,1597,151,16
Macoupin,903,39,1
Madison,3073,449,35
Marion,908,47,0
Marshall,157,4,0
Mason,360,15,0
Massac,133,6,0
McDonough,645,54,2
McHenry,6443,1049,56
McLean,3919,127,3
Menard,305,17,0
Mercer,219,12,0
Monroe,326,81,11
Montgomery,702,34,1
Morgan,637,33,1
Moultrie,123,6,0
Ogle,1590,160,2
Out Of State,1359,82,1
Peoria,4448,148,6
Perry,466,38,0
Piatt,310,8,0
Pike,109,1,0
Pope,35,1,0
Pulaski,159,31,0
Randolph,1174,227,3
Richland,388,3,0
Rock Island,2784,538,17
Saline,308,5,0
Sangamon,5892,279,23
Schuyler,159,7,0
Shelby,161,10,1
St. Clair,4097,737,59
Stark,74,1,0
Stephenson,673,118,0
Tazewell,3020,59,3
Unassigned,9948,46,1
Union,711,105,1
Vermilion,1153,29,1
Wabash,180,1,0
Warren,534,105,0
Washington,234,17,0
Wayne,341,10,0
White,213,2,0
Whiteside,1360,110,8
Will,22052,3973,214
Williamson,1334,52,1
Winnebago,9638,1208,32
Woodford,583,15,1
