Zip,Tested,Positive_Cases
60002,2744,162
60004,12919,448
60005,6698,302
60007,5705,428
60008,6003,449
60010,7200,341
60012,1472,121
60013,3189,218
60014,6874,509
60015,5508,271
60016,12538,1304
60018,7238,761
60020,1737,77
60021,611,37
60022,1604,53
60025,8190,526
60026,4956,215
60029,155,12
60030,6247,315
60031,7721,496
60033,2454,307
60034,276,6
60035,8182,350
60040,1406,186
60041,1430,73
60042,1139,72
60043,466,20
60044,2625,131
60045,4184,155
60046,5325,357
60047,9945,635
60048,4950,238
60050,4962,331
60051,3376,187
60053,5450,390
60056,9771,789
60060,5999,564
60061,4397,253
60062,11224,437
60064,3415,724
60067,9207,376
60068,7566,415
60069,3813,119
60070,3608,307
60071,519,24
60073,12441,1423
60074,6279,605
60076,8289,656
60077,6069,488
60079,166,14
60081,1144,77
60083,1894,147
60084,2631,223
60085,17947,2883
60087,6624,894
60088,1145,428
60089,7151,401
60090,8260,952
60091,5089,223
60093,4050,217
60096,993,75
60097,1439,78
60098,6580,505
60099,6518,744
60101,7393,961
60102,4402,316
60103,7095,451
60104,4562,537
60106,5610,611
60107,7936,797
60108,6675,423
60109,394,15
60110,6141,937
60112,638,47
60115,6993,438
60118,2362,122
60119,1475,81
60120,9901,1606
60123,10240,1113
60124,3674,236
60126,10290,570
60130,5973,209
60131,3639,439
60133,7740,916
60134,4710,294
60135,1037,88
60136,1159,102
60137,7244,353
60139,6758,799
60140,2584,174
60141,1258,24
60142,4240,205
60143,2312,228
60145,256,15
60146,358,19
60148,9390,583
60150,230,8
60151,498,27
60152,1678,102
60153,5161,634
60154,4010,258
60155,1627,211
60156,3788,278
60157,370,20
60160,5519,875
60162,2805,200
60163,1101,118
60164,7058,645
60165,969,204
60169,5806,518
60171,2079,169
60172,4403,316
60173,1734,142
60174,6052,340
60175,3662,250
60176,1923,230
60177,4349,428
60178,2953,145
60180,185,7
60181,4942,380
60184,329,16
60185,7135,911
60187,6985,243
60188,8088,668
60189,5502,227
60190,2552,107
60191,2550,266
60192,2077,114
60193,7257,379
60194,4631,232
60195,587,28
60201,9843,398
60202,7756,507
60203,1018,44
60301,689,41
60302,8321,328
60304,3854,123
60305,2513,111
60401,1660,73
60402,14639,1792
60403,3746,299
60404,3329,194
60406,6094,691
60408,1007,35
60409,9387,868
60410,1843,97
60411,13321,1270
60415,3118,291
60416,1079,51
60417,3600,231
60418,1346,160
60419,6407,557
60420,622,16
60421,455,21
60422,2406,149
60423,4848,310
60424,250,10
60425,2855,222
60426,6663,627
60428,2913,291
60429,4245,342
60430,4706,341
60431,5022,332
60432,3926,575
60433,3878,397
60434,1089,222
60435,10977,902
60436,3785,324
60438,6366,583
60439,4215,193
60440,12859,1077
60441,4491,336
60442,1317,78
60443,5468,500
60445,4059,268
60446,8281,701
60447,1896,80
60448,3292,232
60449,1731,108
60450,3067,144
60451,4359,274
60452,4579,334
60453,12080,1108
60455,4275,477
60456,760,63
60457,2824,196
60458,2534,244
60459,5572,595
60461,1240,93
60462,7625,548
60463,2923,301
60464,1686,96
60465,2837,391
60466,5958,600
60467,3910,309
60468,949,58
60469,1203,150
60471,3380,295
60472,1224,87
60473,7144,604
60475,1722,123
60476,626,37
60477,6225,412
60478,5010,456
60480,1084,58
60481,2192,78
60482,1549,147
60484,1485,160
60487,3812,283
60490,4112,223
60491,3065,253
60501,2306,359
60502,3621,199
60503,2393,118
60504,6768,480
60505,14978,2301
60506,13691,1387
60507,73,6
60510,5390,234
60512,191,8
60513,4409,256
60514,1817,108
60515,4800,189
60516,4959,237
60517,5805,340
60518,356,18
60520,414,18
60521,3785,274
60523,2197,143
60525,8669,476
60526,4694,148
60527,7073,421
60531,232,10
60532,5102,220
60534,2279,239
60538,5161,427
60540,7427,236
60541,366,16
60542,3860,266
60543,6695,418
60544,5643,296
60545,2428,214
60546,5349,223
60548,2766,179
60551,465,33
60552,624,26
60554,1892,87
60555,2552,179
60556,208,9
60558,2921,138
60559,4731,439
60560,3846,212
60561,4234,196
60563,8316,280
60564,7038,342
60565,6756,299
60585,3858,194
60586,8275,607
60601,2762,117
60602,523,18
60603,277,10
60604,343,28
60605,6474,293
60606,1810,53
60607,6810,580
60608,19601,2143
60609,15867,2153
60610,9592,433
60611,8971,292
60612,10249,843
60613,11387,581
60614,17544,792
60615,10164,551
60616,12587,633
60617,20315,1722
60618,22624,1710
60619,17073,1210
60620,16264,1468
60621,7543,668
60622,14838,879
60623,20071,3892
60624,8868,1050
60625,18714,1757
60626,18678,1283
60628,16037,1444
60629,24519,4175
60630,11732,997
60631,8431,479
60632,19875,3779
60633,4423,414
60634,19766,1937
60636,7566,946
60637,12243,794
60638,12543,1472
60639,25175,4041
60640,22074,1072
60641,19209,1916
60642,5426,280
60643,14044,1010
60644,14072,1470
60645,11883,1223
60646,6914,456
60647,23778,1820
60649,12670,1023
60651,15462,2136
60652,9785,1214
60653,11198,695
60654,4459,240
60655,6855,415
60656,5860,408
60657,15041,587
60659,7837,919
60660,9410,582
60661,2078,103
60680,205,10
60706,6348,550
60707,10851,996
60712,3555,245
60714,8791,1033
60803,3877,360
60804,19818,3532
60805,4004,325
60827,5357,500
60901,10965,912
60911,245,14
60912,86,6
60913,249,10
60914,6964,343
60915,2803,120
60917,115,6
60919,79,7
60922,518,25
60927,819,58
60928,125,9
60930,411,8
60936,861,11
60938,967,63
60940,601,30
60941,352,14
60942,1357,23
60950,4250,163
60953,353,6
60954,1859,61
60955,332,21
60957,967,20
60958,468,37
60964,1030,50
60970,1193,34
61008,6385,586
61010,1756,49
61011,392,14
61012,299,26
61016,837,63
61019,411,16
61020,375,19
61021,3106,143
61024,424,8
61025,420,33
61028,288,12
61032,5666,277
61036,1354,45
61038,146,9
61041,158,8
61046,253,7
61047,226,10
61048,357,8
61051,72,6
61053,284,7
61054,848,29
61061,1011,39
61062,158,8
61063,549,16
61064,563,24
61065,1589,110
61068,2208,201
61071,1011,71
61072,1674,69
61073,2980,147
61074,334,18
61075,103,6
61080,1337,90
61081,1709,138
61084,329,17
61085,340,10
61087,123,6
61088,863,22
61101,4667,398
61102,3671,342
61103,6634,403
61104,3287,370
61107,6400,365
61108,6374,556
61109,4751,384
61111,4336,184
61114,3306,151
61115,3654,187
61201,10294,498
61230,122,10
61231,755,23
61232,273,11
61235,311,11
61238,575,19
61239,228,7
61240,1463,38
61241,1457,42
61244,6435,375
61250,342,8
61252,749,80
61254,2545,51
61256,407,14
61264,2278,75
61265,10586,538
61270,1146,22
61272,155,6
61273,693,27
61275,749,34
61277,654,9
61281,463,12
61282,2261,117
61284,391,21
61285,492,11
61301,1785,64
61310,439,13
61314,81,6
61319,139,7
61322,163,57
61325,177,14
61326,172,8
61329,139,11
61333,73,10
61341,1311,58
61342,1275,165
61348,485,33
61349,91,6
61350,3886,116
61354,1262,46
61356,1595,41
61360,285,15
61362,1102,62
61364,2938,112
61373,191,7
61401,5100,233
61410,359,11
61413,146,9
61420,110,10
61422,372,11
61434,383,8
61443,1758,42
61448,578,17
61455,2404,107
61462,1473,154
61465,174,7
61467,110,7
61469,217,10
61473,242,9
61486,220,10
61517,525,15
61520,2694,15
61523,2347,58
61525,2336,96
61528,685,17
61529,496,12
61530,839,12
61533,300,7
61534,246,9
61536,470,11
61537,391,9
61546,766,11
61547,646,21
61548,2381,88
61550,4127,100
61554,8262,133
61559,586,9
61561,299,7
61568,649,21
61571,4845,90
61602,408,11
61603,3945,207
61604,8287,324
61605,3143,147
61606,1293,50
61607,2135,85
61610,1001,27
61611,5079,121
61614,8561,302
61615,6241,166
61616,1939,53
61701,7780,175
61704,6465,165
61705,2632,44
61724,122,7
61726,340,7
61727,1045,16
61729,138,6
61732,363,10
61733,156,6
61739,636,10
61745,756,14
61748,515,13
61752,668,9
61753,358,7
61755,750,8
61761,8107,170
61764,1891,37
61770,157,6
61801,11546,106
61802,8304,224
61813,445,6
61820,14681,286
61821,13816,306
61822,10754,153
61832,5993,108
61833,424,9
61834,1419,27
61842,521,9
61843,957,31
61845,137,8
61846,678,10
61847,703,7
61853,5871,92
61856,2371,34
61858,653,11
61863,281,6
61864,623,10
61866,4964,255
61873,1973,29
61874,4857,60
61875,252,6
61876,137,7
61877,455,15
61878,392,6
61880,1546,32
61883,699,12
61884,335,9
61910,774,45
61911,429,25
61920,4986,227
61925,93,6
61928,128,11
61937,230,9
61938,5803,217
61943,230,9
61944,1080,19
61951,1411,34
61953,1639,31
61956,747,13
61957,295,10
62001,382,10
62002,3903,354
62010,935,101
62012,841,44
62014,382,13
62015,120,6
62017,186,6
62018,328,27
62022,98,8
62024,1083,46
62025,4750,356
62033,1066,28
62034,3282,176
62035,2597,152
62037,181,11
62040,6067,447
62048,136,6
62049,2233,45
62052,1815,57
62056,2369,55
62059,96,10
62060,849,74
62061,169,14
62062,2843,71
62067,243,17
62069,620,14
62075,516,11
62082,437,20
62084,117,10
62087,199,12
62088,1362,26
62090,203,25
62092,523,14
62094,224,7
62095,1187,69
62097,316,12
62201,1599,189
62203,1383,160
62204,1083,121
62205,1571,162
62206,3144,356
62207,1359,210
62208,2745,280
62214,120,6
62215,241,16
62216,482,25
62217,113,12
62218,176,13
62220,3058,364
62221,4083,392
62223,2792,211
62225,326,17
62226,4819,454
62230,998,47
62231,1206,114
62232,2355,96
62233,1494,156
62234,4739,386
62236,1166,143
62237,1171,30
62238,87,12
62239,488,55
62240,149,17
62241,135,10
62242,139,11
62243,704,34
62245,264,19
62246,2412,41
62249,2122,123
62254,1181,132
62255,114,13
62257,375,24
62258,1675,75
62260,776,69
62263,613,21
62264,494,70
62265,1209,78
62269,4494,314
62271,198,12
62272,328,59
62274,1159,86
62275,388,15
62278,1091,65
62281,354,23
62285,510,43
62286,969,86
62288,563,53
62293,766,44
62294,1893,138
62295,149,14
62298,2750,140
62301,10928,238
62305,1330,158
62311,141,7
62316,81,6
62320,228,9
62325,23,9
62326,318,8
62338,86,14
62341,296,7
62347,133,9
62351,135,12
62353,847,9
62363,618,8
62376,80,17
62401,2722,78
62411,709,11
62417,682,6
62418,224,13
62420,1049,29
62424,242,18
62427,122,9
62428,528,13
62439,1038,28
62441,879,35
62442,248,11
62443,156,13
62447,873,33
62448,1043,47
62450,2099,14
62454,894,19
62458,630,8
62460,127,8
62467,401,18
62468,476,9
62471,1061,36
62473,165,9
62474,149,6
62501,263,7
62510,246,7
62521,5429,254
62522,1758,96
62526,5650,179
62530,326,9
62533,173,7
62535,1710,14
62540,259,6
62548,527,10
62549,974,45
62550,279,6
62554,184,7
62557,1565,42
62558,720,14
62560,298,14
62561,1232,12
62563,1542,43
62565,1826,34
62568,3056,77
62612,351,6
62613,825,14
62615,1627,25
62618,1754,141
62621,218,8
62626,2832,32
62627,244,16
62628,153,6
62629,3993,87
62640,651,7
62642,312,9
62644,756,17
62650,6068,215
62656,4898,93
62664,542,12
62668,253,6
62670,741,22
62675,1395,28
62677,634,23
62681,774,17
62684,1808,86
62689,122,6
62690,1749,12
62691,567,69
62692,404,9
62694,682,9
62702,10667,207
62703,8078,163
62704,11174,252
62707,2646,48
62711,5375,146
62712,2707,56
62801,3862,111
62806,220,8
62807,81,7
62808,180,9
62810,120,10
62812,1756,51
62814,201,12
62821,1149,31
62822,373,7
62827,83,9
62828,143,10
62830,145,6
62832,1646,50
62835,61,8
62837,923,33
62839,625,7
62844,124,11
62848,87,7
62858,315,18
62859,556,18
62863,868,30
62864,3778,217
62865,212,13
62869,216,12
62870,365,10
62872,143,9
62875,166,17
62881,1359,31
62882,354,18
62884,323,9
62888,189,8
62890,291,16
62893,116,6
62895,165,15
62896,1729,54
62897,44,6
62898,200,9
62901,5487,366
62902,803,38
62903,517,23
62905,161,12
62906,1837,173
62907,366,44
62910,259,6
62912,158,11
62914,835,19
62916,124,7
62917,613,18
62918,1935,76
62919,89,8
62920,708,82
62922,366,10
62924,454,16
62926,305,11
62930,720,41
62931,137,7
62932,195,10
62933,233,14
62934,121,21
62935,214,10
62938,236,7
62939,420,19
62940,59,6
62946,1874,63
62948,2647,72
62951,738,29
62952,523,32
62954,53,6
62958,376,11
62959,5778,156
62960,1379,27
62964,160,11
62966,2915,200
62967,43,6
62972,156,6
62983,224,9
62984,149,14
62985,95,6
62988,140,8
62992,334,60
62994,110,9
62995,519,21
62997,93,7
