County,Tested,Positive_Cases,Deaths
Illinois,"7,326,216","378,985","9,522"
Adams,"38,660","1,888",20
Alexander,"2,363",124,1
Bond,"7,736",507,9
Boone,"21,910","1,878",25
Brown,"2,169",111,0
Bureau,"12,853",913,16
Calhoun,"1,633",66,0
Carroll,"6,937",419,11
Cass,"5,659",463,11
Champaign,"760,502","6,172",29
Chicago,"1,473,609","96,389","3,049"
Christian,"14,402",825,29
Clark,"5,620",310,17
Clay,"4,559",314,13
Clinton,"17,685","1,789",26
Coles,"27,854","1,935",39
Cook,"1,281,361","81,076","2,384"
Crawford,"5,902",651,6
Cumberland,"4,633",294,6
De Witt,"5,901",264,6
DeKalb,"44,746","2,399",42
Douglas,"11,131",684,9
DuPage,"422,823","23,099",606
Edgar,"4,669",157,10
Edwards,"1,133",109,0
Effingham,"14,860","1,183",4
Fayette,"8,213",685,24
Ford,"6,924",198,14
Franklin,"16,167",986,9
Fulton,"15,269",527,1
Gallatin,"1,092",107,2
Greene,"4,758",295,15
Grundy,"14,204",977,7
Hamilton,"2,027",126,2
Hancock,"7,011",314,4
Hardin,"1,350",54,0
Henderson,"1,900",129,0
Henry,"20,875",853,7
Iroquois,"14,076",495,19
Jackson,"22,976","1,548",26
Jasper,"3,450",264,10
Jefferson,"12,971",907,48
Jersey,"7,904",475,21
Jo Daviess,"7,550",512,7
Johnson,"3,896",362,0
Kane,"224,523","16,903",347
Kankakee,"65,370","3,421",80
Kendall,"44,017","2,704",30
Knox,"24,167","1,317",16
Lake,"321,564","20,815",511
LaSalle,"39,786","2,426",63
Lawrence,"6,615",336,8
Lee,"10,746",740,2
Livingston,"17,730",646,10
Logan,"18,445",599,4
Macon,"53,297","3,160",52
Macoupin,"22,505",816,11
Madison,"99,003","7,221",154
Marion,"18,713","1,028",19
Marshall,"5,728",157,3
Mason,"6,203",309,1
Massac,"3,383",155,2
McDonough,"12,833",771,20
McHenry,"100,507","6,452",121
McLean,"98,999","4,209",34
Menard,"5,996",186,1
Mercer,"6,362",270,6
Monroe,"11,190",925,30
Montgomery,"17,346",615,16
Morgan,"16,219",934,24
Moultrie,"7,051",415,4
Ogle,"19,810","1,218",7
Out Of State,"53,876",5,0
Peoria,"109,945","4,622",73
Perry,"7,657",447,16
Piatt,"10,730",254,0
Pike,"5,394",358,6
Pope,796,42,1
Pulaski,"2,026",240,1
Putnam,"1,573",92,0
Randolph,"15,821","1,283",15
Richland,"7,899",335,16
Rock Island,"73,603","4,070",90
Saline,"8,288",567,9
Sangamon,"132,676","4,067",63
Schuyler,"2,298",90,1
Scott,"2,755",107,0
Shelby,"8,678",691,12
St. Clair,"106,137","7,993",220
Stark,"2,699",86,3
Stephenson,"16,993","1,018",7
Tazewell,"74,577","2,687",56
Unassigned,"63,072",65,0
Union,"8,672",787,25
Vermilion,"36,973","1,741",10
Wabash,"2,989",228,5
Warren,"5,535",506,8
Washington,"4,083",310,2
Wayne,"5,649",486,12
White,"7,325",270,4
Whiteside,"20,357","1,460",27
Will,"278,058","18,621",427
Williamson,"31,944","1,888",59
Winnebago,"134,639","10,340",180
Woodford,"17,138",637,14
