Zip,Positive_Cases,Tested
53142,7,34
60002,34,253
60004,63,744
60005,41,228
60007,61,271
60008,37,161
60010,30,208
60012,19,56
60013,32,127
60014,39,240
60015,79,387
60016,345,955
60018,117,388
60020,10,77
60021,7,32
60022,15,112
60025,150,671
60026,59,223
60030,46,303
60031,85,430
60033,19,95
60035,111,512
60040,18,67
60041,9,61
60042,7,44
60043,13,53
60044,38,159
60045,77,291
60046,57,315
60047,47,215
60048,47,237
60050,47,193
60051,20,148
60053,89,425
60056,135,573
60060,75,296
60061,45,229
60062,92,541
60064,161,304
60067,35,258
60068,104,437
60069,19,115
60070,38,147
60073,143,507
60074,74,260
60076,181,766
60077,140,634
60081,15,62
60083,27,105
60084,54,108
60085,557,1059
60087,149,356
60088,17,40
60089,69,347
60090,111,448
60091,76,449
60093,89,347
60096,10,63
60097,9,68
60098,71,249
60099,166,375
60101,125,433
60102,30,160
60103,44,235
60104,163,433
60106,119,301
60107,93,306
60108,41,262
60110,44,148
60115,22,198
60118,18,70
60119,8,63
60120,90,249
60123,77,282
60124,16,100
60126,89,460
60130,51,254
60131,71,267
60133,94,290
60134,18,145
60136,12,51
60137,35,249
60139,83,334
60140,18,103
60141,6,101
60142,22,139
60143,15,79
60148,94,428
60153,132,473
60154,73,320
60155,41,151
60156,27,137
60160,118,388
60162,54,172
60163,23,74
60164,82,335
60165,34,70
60169,49,246
60171,33,163
60172,32,151
60173,10,73
60174,25,215
60175,23,169
60176,25,124
60177,23,121
60178,11,111
60181,75,275
60185,71,273
60187,22,186
60188,120,386
60189,34,195
60190,9,72
60191,21,132
60192,16,108
60193,56,260
60194,25,141
60201,118,859
60202,120,711
60203,14,82
60301,11,52
60302,85,516
60304,33,232
60305,17,132
60401,23,108
60402,273,1041
60403,62,344
60404,37,250
60406,96,343
60409,199,663
60410,11,117
60411,283,1031
60415,77,228
60417,65,235
60418,31,115
60419,145,466
60422,48,180
60423,64,311
60425,48,195
60426,153,525
60428,86,290
60429,104,407
60430,102,369
60431,74,430
60432,50,258
60433,69,254
60434,21,49
60435,224,947
60436,49,333
60438,121,438
60439,39,227
60440,172,876
60441,79,393
60442,16,100
60443,163,550
60445,52,187
60446,115,569
60447,10,148
60448,45,200
60449,34,170
60450,14,103
60451,44,283
60452,59,273
60453,185,636
60455,72,220
60456,15,47
60457,36,127
60458,29,164
60459,93,318
60461,32,118
60462,89,391
60463,43,173
60464,14,84
60465,51,194
60466,238,620
60467,60,260
60468,10,35
60469,19,64
60471,92,345
60472,36,117
60473,172,513
60475,38,131
60477,68,358
60478,119,474
60480,11,75
60481,9,91
60482,22,128
60484,50,157
60487,48,239
60490,62,338
60491,65,230
60501,39,127
60502,25,129
60503,13,81
60504,48,232
60505,100,322
60506,116,419
60510,17,162
60513,52,288
60514,25,112
60515,26,171
60516,32,220
60517,64,316
60521,30,254
60523,34,155
60525,84,486
60526,26,197
60527,132,491
60532,34,200
60534,31,125
60538,27,167
60540,32,294
60542,16,135
60543,45,239
60544,53,378
60545,9,68
60546,59,268
60548,7,49
60551,9,22
60554,9,64
60555,21,94
60558,14,123
60559,81,263
60560,21,126
60561,48,259
60563,41,298
60564,50,326
60565,70,292
60585,34,185
60586,97,574
60601,35,190
60605,74,453
60606,24,142
60607,145,547
60608,389,1299
60609,308,922
60610,110,565
60611,75,551
60612,295,1222
60613,166,638
60614,198,921
60615,189,960
60616,194,795
60617,361,1469
60618,305,1167
60619,410,1394
60620,475,1361
60621,202,640
60622,209,872
60623,495,1239
60624,292,926
60625,316,1033
60626,264,943
60628,395,1344
60629,515,1359
60630,174,929
60631,97,751
60632,413,1128
60633,48,191
60634,354,1795
60636,230,603
60637,239,1089
60638,227,1020
60639,511,1392
60640,270,930
60641,262,1018
60642,40,297
60643,327,1055
60644,357,1037
60645,468,1332
60646,80,574
60647,230,1134
60649,290,1148
60651,370,1095
60652,223,656
60653,210,821
60654,78,276
60655,134,668
60656,91,658
60657,159,938
60659,255,710
60660,155,548
60661,20,115
60706,91,488
60707,179,857
60712,76,293
60714,154,484
60803,65,266
60804,398,1087
60805,76,250
60827,133,430
60901,169,615
60914,48,291
60915,13,120
60950,16,145
60954,9,57
60964,9,60
61008,25,127
61016,11,57
61021,11,279
61032,9,107
61065,7,50
61068,43,202
61071,10,47
61073,6,71
61081,19,62
61101,13,126
61102,23,87
61103,19,163
61104,19,102
61107,10,148
61108,30,159
61109,26,136
61111,8,89
61114,14,71
61115,6,106
61201,45,135
61235,6,15
61241,10,57
61244,72,171
61264,9,41
61265,58,227
61282,17,64
61401,9,139
61462,14,38
61604,9,79
61611,9,84
61614,11,77
61615,10,55
61701,33,520
61704,16,378
61705,7,142
61761,18,431
61764,8,110
61801,11,195
61802,16,194
61820,7,184
61821,10,267
61822,24,244
61853,7,131
61874,6,79
61910,6,31
61920,6,68
61938,7,104
62002,31,91
62024,7,15
62025,30,58
62034,10,28
62035,8,40
62040,33,182
62052,6,41
62060,7,28
62069,6,20
62095,8,31
62201,8,17
62203,10,21
62204,9,19
62205,9,23
62206,22,44
62207,15,14
62208,19,62
62220,21,64
62221,28,95
62223,20,42
62226,43,82
62233,33,114
62234,19,70
62236,28,72
62249,8,47
62258,11,44
62265,8,22
62269,24,109
62278,13,41
62294,10,40
62298,23,64
62301,13,133
62305,12,55
62448,20,43
62471,13,61
62521,38,135
62522,6,40
62526,7,90
62568,24,116
62650,12,109
62702,17,258
62703,6,177
62704,6,255
62707,6,49
62711,10,102
62801,35,247
62864,25,192
62901,35,219
62959,10,178
62992,8,27
