Zip,Tested,Positive_Cases
60002,2600,159
60004,11870,438
60005,6294,294
60007,5287,411
60008,5695,435
60010,6612,303
60012,1390,117
60013,2945,207
60014,6446,482
60015,5073,257
60016,11900,1281
60018,6988,752
60020,1655,75
60021,578,35
60022,1462,51
60025,7743,514
60026,4561,211
60029,148,12
60030,5891,301
60031,7304,477
60033,2348,298
60034,260,6
60035,7658,345
60040,1352,186
60041,1340,69
60042,1074,71
60043,444,20
60044,2368,131
60045,3959,154
60046,4970,339
60047,9391,627
60048,4682,227
60050,4637,317
60051,3166,183
60053,5207,376
60056,9175,770
60060,5716,555
60061,4192,249
60062,10646,424
60064,3237,722
60067,8470,357
60068,7159,406
60069,3603,118
60070,3364,301
60071,473,24
60073,11746,1378
60074,5903,590
60076,7719,635
60077,5811,478
60079,159,14
60081,1075,72
60083,1788,139
60084,2342,220
60085,17149,2820
60087,6308,865
60088,1082,403
60089,6717,393
60090,7725,934
60091,4680,213
60093,3759,213
60096,941,71
60097,1353,68
60098,6270,485
60099,6210,725
60101,7028,944
60102,4043,292
60103,6557,421
60104,4399,521
60106,5435,602
60107,7434,773
60108,6236,414
60109,386,14
60110,5600,882
60112,587,45
60115,6424,419
60118,2178,118
60119,1346,77
60120,9521,1575
60123,9745,1086
60124,3431,232
60126,9616,550
60130,5521,208
60131,3481,426
60133,7303,896
60134,4319,275
60135,954,79
60136,1079,97
60137,6639,333
60139,6392,775
60140,2394,155
60141,1218,24
60142,3960,192
60143,2205,223
60145,243,14
60146,329,17
60148,8798,564
60150,209,8
60151,458,27
60152,1594,97
60153,4961,617
60154,3811,254
60155,1560,205
60156,3482,250
60157,343,20
60160,5313,852
60162,2647,193
60163,1045,116
60164,6701,614
60165,936,203
60169,5435,496
60171,1939,162
60172,4151,301
60173,1608,138
60174,5618,306
60175,3241,219
60176,1825,225
60177,4058,408
60178,2670,136
60180,174,7
60181,4647,362
60184,302,15
60185,6750,888
60187,6226,232
60188,7599,650
60189,5065,207
60190,2382,102
60191,2421,259
60192,1909,99
60193,6735,368
60194,4123,221
60195,544,28
60201,9361,386
60202,7327,492
60203,961,43
60301,643,40
60302,7784,314
60304,3585,110
60305,2341,107
60401,1604,70
60402,13896,1721
60403,3602,293
60404,3173,186
60406,5696,663
60408,971,31
60409,9011,849
60410,1744,91
60411,12836,1243
60415,2999,283
60416,1014,44
60417,3458,223
