County,Positive_Cases,Deaths,Tested
Illinois,33059,1468,154997
Chicago,13554,569,0
Adams,29,0,0
Alexander,2,0,0
Bond,4,1,0
Boone,35,6,0
Bureau,8,0,0
Calhoun,1,0,0
Carroll,7,2,0
Cass,6,0,0
Champaign,97,4,0
Christian,26,4,0
Clark,4,0,0
Clay,1,0,0
Clinton,46,0,0
Coles,17,0,0
Cook,9627,433,0
Crawford,7,0,0
Cumberland,2,0,0
DeKalb,56,1,0
De Witt,1,0,0
Douglas,12,0,0
DuPage,1864,98,0
Effingham,5,1,0
Fayette,15,1,0
Ford,6,1,0
Franklin,6,0,0
Fulton,1,0,0
Gallatin,2,0,0
Greene,1,0,0
Grundy,26,0,0
Hamilton,2,0,0
Hancock,4,0,0
Hardin,1,0,0
Henderson,2,0,0
Henry,31,0,0
Iroquois,14,0,0
Jackson,48,6,0
Jasper,36,2,0
Jefferson,34,0,0
Jersey,10,0,0
Jo Daviess,11,0,0
Johnson,2,0,0
Kane,684,33,0
Kankakee,278,13,0
Kendall,146,3,0
Knox,11,0,0
Lake,2287,87,0
LaSalle,33,1,0
Lawrence,2,0,0
Lee,17,0,0
Livingston,18,1,0
Logan,4,0,0
McDonough,3,0,0
McHenry,368,20,0
McLean,86,3,0
Macon,60,9,0
Macoupin,22,0,0
Madison,190,10,0
Marion,25,0,0
Marshall,4,0,0
Mason,5,0,0
Massac,3,0,0
Menard,3,0,0
Mercer,5,0,0
Monroe,55,7,0
Montgomery,17,1,0
Morgan,13,1,0
Moultrie,2,0,0
Ogle,59,1,0
Peoria,44,2,0
Perry,1,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,10,0,0
Randolph,61,1,0
Richland,2,0,0
Rock Island,217,5,0
St. Clair,289,18,0
Saline,3,0,0
Sangamon,68,4,0
Schuyler,1,0,0
Shelby,4,0,0
Stark,1,0,0
Stephenson,13,0,0
Tazewell,30,3,0
Unassigned,192,2,0
Union,5,0,0
Vermilion,10,0,0
Wabash,1,0,0
Warren,15,0,0
Washington,7,0,0
Wayne,1,0,0
White,1,0,0
Whiteside,42,3,0
Will,1736,105,0
Williamson,16,0,0
Winnebago,207,5,0
Woodford,11,1,0
