County,Positive_Cases,Deaths
Illinois,22025,794
Chicago,9084,308
Adams,26,0
Bond,4,0
Boone,13,1
Bureau,6,0
Calhoun,1,0
Carroll,5,1
Champaign,87,2
Christian,24,3
Clark,4,0
Clinton,38,0
Coles,6,0
Cook,6390,235
Crawford,4,0
Cumberland,2,0
DeKalb,34,1
De Witt,1,0
Douglas,11,0
DuPage,1223,56
Effingham,3,1
Fayette,11,1
Ford,4,1
Franklin,4,0
Fulton,1,0
Gallatin,1,0
Greene,1,0
Grundy,21,0
Hancock,1,0
Henry,23,0
Iroquois,9,0
Jackson,33,2
Jasper,3,1
Jefferson,8,0
Jersey,6,0
Jo Daviess,11,0
Johnson,1,0
Kane,421,24
Kankakee,210,9
Kendall,114,2
Knox,2,0
Lake,1516,45
LaSalle,21,1
Lawrence,2,0
Lee,14,0
Livingston,17,0
Logan,4,0
McDonough,2,0
McHenry,245,7
McLean,79,2
Macon,42,1
Macoupin,16,0
Madison,115,2
Marion,13,0
Marshall,1,0
Mason,3,0
Massac,2,0
Menard,2,0
Mercer,2,0
Monroe,46,1
Montgomery,9,1
Morgan,10,1
Moultrie,2,0
Ogle,26,0
Peoria,30,1
Perry,1,0
Piatt,6,0
Pike,1,0
Pulaski,5,0
Randolph,41,0
Richland,1,0
Rock Island,105,3
St. Clair,202,8
Saline,3,0
Sangamon,48,2
Schuyler,1,0
Shelby,4,0
Stark,1,0
Stephenson,8,0
Tazewell,19,2
Unassigned,65,1
Vermilion,8,0
Wabash,2,0
Warren,2,0
Washington,2,0
Whiteside,28,1
Will,1283,63
Williamson,10,0
Winnebago,99,4
Woodford,9,0
