County,Tested,Positive_Cases,Deaths
Illinois,2896063,186471,7573
Adams,18130,461,5
Alexander,1161,36,0
Bond,2890,59,2
Boone,8901,749,23
Brown,963,13,0
Bureau,4156,161,2
Calhoun,439,8,0
Carroll,1523,46,4
Cass,2910,214,11
Champaign,76589,1593,19
Chicago,698425,62457,2798
Christian,5973,126,4
Clark,2274,73,1
Clay,1641,17,0
Clinton,6518,366,17
Coles,11875,422,20
Cook,570948,45968,2111
Crawford,1583,29,0
Cumberland,1933,47,2
De Witt,1855,32,0
DeKalb,15532,884,29
Douglas,3889,104,2
DuPage,184706,11804,515
Edgar,1832,27,0
Edwards,402,16,0
Effingham,5123,118,1
Fayette,2521,58,3
Ford,2398,45,1
Franklin,5530,141,0
Fulton,4688,32,0
Gallatin,413,45,1
Greene,1558,28,0
Grundy,6371,296,5
Hamilton,754,25,0
Hancock,3053,39,1
Hardin,465,17,0
Henderson,603,10,0
Henry,8684,216,1
Iroquois,6062,250,9
Jackson,10431,676,19
Jasper,1384,55,7
Jefferson,4900,213,19
Jersey,2180,74,1
Jo Daviess,2842,119,1
Johnson,1366,62,0
Kane,99571,9417,301
Kankakee,29301,1708,68
Kendall,19486,1310,23
Knox,7516,279,1
Lake,148672,12315,443
LaSalle,14931,590,21
Lawrence,2237,44,0
Lee,3935,149,1
Livingston,4640,99,2
Logan,7061,90,0
Macon,17878,517,23
Macoupin,9535,142,3
Madison,40391,2320,73
Marion,5361,143,0
Marshall,1587,21,0
Mason,2319,44,0
Massac,1659,35,0
McDonough,3882,134,15
McHenry,42841,3020,114
McLean,27842,595,15
Menard,2587,50,0
Mercer,2291,73,3
Monroe,3776,292,13
Montgomery,7039,153,7
Morgan,7150,213,6
Moultrie,2053,66,0
Ogle,7715,392,5
Out Of State,33404,2,0
Peoria,43544,1445,35
Perry,3114,136,1
Piatt,3813,52,0
Pike,1509,17,0
Pope,297,8,0
Pulaski,796,91,0
Putnam,477,9,0
Randolph,5731,440,7
Richland,2447,14,0
Rock Island,34729,1649,33
Saline,3178,117,1
Sangamon,56708,1096,33
Schuyler,917,17,0
Scott,992,12,0
Shelby,3321,67,1
St. Clair,43972,3753,159
Stark,982,7,0
Stephenson,7088,324,6
Tazewell,27743,438,8
Unassigned,49657,68,0
Union,3502,306,22
Vermilion,13264,218,2
Wabash,984,33,0
Warren,2060,185,0
Washington,1535,60,0
Wayne,1650,54,1
White,1553,61,0
Whiteside,8018,329,16
Will,122485,8821,341
Williamson,12226,349,5
Winnebago,53916,3730,128
Woodford,5547,121,3
