County,Tested,Positive_Cases,Deaths
Illinois,3649685,218285,7874
Adams,23197,705,7
Alexander,1366,40,0
Bond,4046,100,3
Boone,10482,815,23
Brown,1200,16,0
Bureau,5216,312,4
Calhoun,671,19,0
Carroll,2204,111,4
Cass,3695,283,11
Champaign,148508,1929,20
Chicago,844987,68368,2850
Christian,7717,182,4
Clark,2963,112,2
Clay,2141,57,0
Clinton,8345,574,17
Coles,16350,759,21
Cook,698589,52199,2158
Crawford,2035,49,0
Cumberland,2655,103,3
De Witt,2351,37,1
DeKalb,19789,1038,33
Douglas,5267,185,4
DuPage,230893,13686,529
Edgar,2242,57,0
Edwards,532,31,0
Effingham,7434,367,1
Fayette,3327,108,3
Ford,2996,69,2
Franklin,7359,285,1
Fulton,6376,68,0
Gallatin,530,60,2
Greene,2209,93,0
Grundy,7795,425,5
Hamilton,948,40,0
Hancock,3874,113,1
Hardin,566,18,0
Henderson,747,28,0
Henry,11077,367,1
Iroquois,7389,283,16
Jackson,12865,828,20
Jasper,1789,87,7
Jefferson,6278,384,31
Jersey,3736,213,2
Jo Daviess,3721,159,2
Johnson,1744,88,0
Kane,124857,10702,307
Kankakee,35872,2017,71
Kendall,24419,1568,23
Knox,10677,415,3
Lake,181615,13808,455
LaSalle,21197,1085,39
Lawrence,3109,80,0
Lee,5015,211,1
Livingston,6687,165,3
Logan,9214,223,1
Macon,24205,832,24
Macoupin,12999,290,3
Madison,52190,3503,91
Marion,6908,221,0
Marshall,2007,39,0
Mason,3004,67,1
Massac,1977,51,0
McDonough,4858,160,15
McHenry,53641,3561,115
McLean,40768,1004,16
Menard,3208,62,0
Mercer,2951,90,4
Monroe,4839,391,13
Montgomery,8662,214,8
Morgan,10220,441,17
Moultrie,2893,131,0
Ogle,9891,452,5
Peoria,57982,2142,38
Perry,4336,256,6
Piatt,5061,71,0
Pike,1895,48,0
Pope,389,11,0
Pulaski,987,104,1
Putnam,659,13,0
Randolph,7586,622,7
Richland,3153,53,1
Rock Island,41732,1986,46
Saline,4451,153,2
Sangamon,71717,1593,37
Schuyler,1287,19,0
Scott,1414,36,0
Shelby,4457,146,2
St. Clair,55646,4814,166
Stark,1154,9,0
Stephenson,8243,360,6
Tazewell,38583,913,9
Unassigned,53287,47,0
Union,4360,391,23
Vermilion,16999,285,2
Wabash,1517,93,1
Warren,2608,226,0
Washington,1888,87,1
Wayne,2224,85,2
White,1891,108,0
Whiteside,9924,440,18
Will,151153,10614,354
Williamson,16335,673,9
Winnebago,62526,4018,137
Woodford,7616,235,3
