County,Tested,Positive_Cases,Deaths
Illinois,3329762,204519,7726
Adams,21281,620,7
Alexander,1294,39,0
Bond,3675,77,3
Boone,9762,764,23
Brown,1087,15,0
Bureau,4786,269,4
Calhoun,506,13,0
Carroll,1947,79,4
Cass,3497,251,11
Champaign,106237,1752,19
Chicago,783781,65801,2823
Christian,7119,150,4
Clark,2609,93,2
Clay,1846,32,0
Clinton,7636,468,17
Coles,14490,602,21
Cook,644789,49543,2130
Crawford,1749,35,0
Cumberland,2347,62,3
De Witt,2172,37,0
DeKalb,18203,977,32
Douglas,4726,140,3
DuPage,211856,12815,526
Edgar,2005,34,0
Edwards,474,25,0
Effingham,6298,228,1
Fayette,2969,78,3
Ford,2713,57,2
Franklin,6427,232,1
Fulton,5656,44,0
Gallatin,477,51,2
Greene,2023,71,0
Grundy,7181,378,5
Hamilton,866,34,0
Hancock,3462,85,1
Hardin,536,18,0
Henderson,675,22,0
Henry,9920,285,1
Iroquois,6674,279,14
Jackson,11936,760,20
Jasper,1549,64,7
Jefferson,5811,345,20
Jersey,3140,145,2
Jo Daviess,3405,140,1
Johnson,1581,77,0
Kane,114342,10157,304
Kankakee,32974,1874,69
Kendall,22335,1458,23
Knox,9218,351,1
Lake,168648,13231,450
LaSalle,18955,932,29
Lawrence,2569,58,0
Lee,4574,192,1
Livingston,5630,143,3
Logan,8258,190,1
Macon,22120,741,23
Macoupin,11551,235,3
Madison,47503,3051,85
Marion,6143,179,0
Marshall,1868,35,0
Mason,2781,62,0
Massac,1852,43,0
McDonough,4424,155,15
McHenry,49421,3364,114
McLean,35786,756,15
Menard,3028,61,0
Mercer,2627,78,4
Monroe,4562,353,13
Montgomery,8009,183,7
Morgan,9399,368,9
Moultrie,2518,105,0
Ogle,9010,432,5
Peoria,52494,1866,37
Perry,3648,198,3
Piatt,4665,67,0
Pike,1753,33,0
Pope,356,11,0
Pulaski,915,101,1
Putnam,591,13,0
Randolph,6818,505,7
Richland,2813,31,0
Rock Island,38926,1850,39
Saline,3965,137,2
Sangamon,66483,1422,35
Schuyler,1212,18,0
Scott,1261,35,0
Shelby,4034,101,2
St. Clair,50478,4370,162
Stark,1078,7,0
Stephenson,7652,342,6
Tazewell,34851,671,9
Unassigned,51809,36,0
Union,3896,344,23
Vermilion,15360,264,2
Wabash,1232,58,0
Warren,2354,199,0
Washington,1738,73,1
Wayne,1956,73,2
White,1739,80,0
Whiteside,9112,388,17
Will,139268,9804,348
Williamson,14482,512,7
Winnebago,58358,3853,134
Woodford,6870,184,3
