County,Tested,Positive_Cases,Deaths
Illinois,1666317,144882,6987
Adams,8512,100,1
Alexander,521,22,0
Bond,938,13,1
Boone,5426,594,21
Brown,523,10,0
Bureau,2451,29,2
Calhoun,212,1,0
Carroll,777,21,2
Cass,1929,133,2
Champaign,31036,905,12
Chicago,423788,52833,2623
Christian,2555,44,4
Clark,918,14,0
Clay,1201,2,0
Clinton,4028,239,17
Coles,5940,170,17
Cook,353870,38548,1986
Crawford,981,18,0
Cumberland,850,12,0
De Witt,1010,6,0
DeKalb,10146,563,19
Douglas,1746,53,0
DuPage,105878,9145,473
Edgar,1171,10,0
Edwards,254,2,0
Effingham,2509,12,1
Fayette,1635,23,3
Ford,1331,34,1
Franklin,2969,27,0
Fulton,2422,15,0
Gallatin,180,2,0
Greene,950,9,0
Grundy,3626,167,4
Hamilton,399,5,0
Hancock,1148,19,1
Hardin,179,1,0
Henderson,371,8,0
Henry,3275,90,1
Iroquois,2928,159,5
Jackson,5591,333,19
Jasper,919,46,7
Jefferson,2703,106,17
Jersey,1316,35,1
Jo Daviess,1652,45,1
Johnson,711,21,0
Kane,61585,7764,272
Kankakee,16642,1299,65
Kendall,11571,971,20
Knox,3312,134,0
Lake,86258,9811,421
LaSalle,8537,220,17
Lawrence,1090,7,0
Lee,2273,98,2
Livingston,2633,47,2
Logan,3549,15,0
Macon,8434,232,22
Macoupin,4681,53,3
Madison,18774,966,69
Marion,3132,66,0
Marshall,929,9,0
Mason,1386,22,0
Massac,1017,14,0
McDonough,2393,101,15
McHenry,24406,2074,97
McLean,14003,265,13
Menard,1442,24,0
Mercer,1012,20,0
Monroe,1929,128,13
Montgomery,3154,46,1
Morgan,4267,129,3
Moultrie,1160,18,0
Ogle,4173,264,4
Peoria,20095,507,28
Perry,1633,54,1
Piatt,1568,20,0
Pike,882,3,0
Pope,157,1,0
Pulaski,547,76,0
Putnam,245,1,0
Randolph,3172,287,7
Richland,1307,4,0
Rock Island,15029,966,29
Saline,1231,9,0
Sangamon,29697,436,32
Schuyler,598,13,0
Shelby,1799,18,1
St. Clair,21056,1927,137
Stark,321,3,0
Stephenson,4946,275,5
Tazewell,12910,141,8
Unassigned,40792,46,0
Union,2264,193,19
Vermilion,5903,69,2
Wabash,610,22,0
Warren,1132,139,0
Washington,854,20,0
Wayne,1210,14,1
White,542,5,0
Whiteside,4268,190,15
Will,77559,6793,320
Williamson,6184,121,4
Winnebago,33524,3054,96
Woodford,2550,34,2
