County,Tested,Positive_Cases,Deaths
Illinois,3439272,209594,7782
Adams,21930,672,7
Alexander,1337,40,0
Bond,3878,88,3
Boone,9993,778,23
Brown,1099,15,0
Bureau,4939,282,4
Calhoun,640,15,0
Carroll,2097,92,4
Cass,3557,259,11
Champaign,111387,1793,19
Chicago,808806,66673,2831
Christian,7394,161,4
Clark,2844,96,2
Clay,1920,40,0
Clinton,7916,512,17
Coles,15096,648,21
Cook,665611,50498,2143
Crawford,1938,38,0
Cumberland,2445,75,3
De Witt,2266,38,0
DeKalb,18819,1004,32
Douglas,4936,152,3
DuPage,219202,13151,527
Edgar,2123,46,0
Edwards,494,28,0
Effingham,6674,266,1
Fayette,3075,81,3
Ford,2885,61,2
Franklin,6865,258,1
Fulton,5800,48,0
Gallatin,498,56,2
Greene,2093,78,0
Grundy,7407,392,5
Hamilton,907,38,0
Hancock,3657,102,1
Hardin,543,18,0
Henderson,700,24,0
Henry,10412,318,1
Iroquois,7134,280,14
Jackson,12329,796,20
Jasper,1680,73,7
Jefferson,5969,357,24
Jersey,3306,173,2
Jo Daviess,3592,148,2
Johnson,1655,81,0
Kane,118597,10384,305
Kankakee,33863,1909,71
Kendall,23077,1495,23
Knox,9596,384,1
Lake,174221,13485,452
LaSalle,19646,992,34
Lawrence,2718,67,0
Lee,4750,199,1
Livingston,5894,151,3
Logan,8597,204,1
Macon,22686,772,23
Macoupin,12131,252,3
Madison,49438,3241,86
Marion,6476,196,0
Marshall,1918,36,0
Mason,2860,64,0
Massac,1906,45,0
McDonough,4657,157,15
McHenry,51179,3446,115
McLean,37976,834,16
Menard,3097,62,0
Mercer,2733,82,4
Monroe,4691,369,13
Montgomery,8217,193,7
Morgan,9688,405,12
Moultrie,2621,115,0
Ogle,9529,439,5
Out Of State,38263,1,0
Peoria,54278,1966,37
Perry,4021,228,4
Piatt,4834,70,0
Pike,1818,38,0
Pope,368,11,0
Pulaski,942,101,1
Putnam,612,13,0
Randolph,7110,550,7
Richland,2958,42,0
Rock Island,39926,1897,44
Saline,4062,145,2
Sangamon,68250,1487,35
Schuyler,1236,19,0
Scott,1317,35,0
Shelby,4159,112,2
St. Clair,52636,4551,163
Stark,1114,7,0
Stephenson,7808,351,6
Tazewell,35948,765,9
Unassigned,52204,38,0
Union,4077,368,23
Vermilion,15861,273,2
Wabash,1463,71,0
Warren,2464,209,0
Washington,1799,76,1
Wayne,2079,77,2
White,1802,95,0
Whiteside,9401,406,17
Will,143975,10102,353
Williamson,15081,568,7
Winnebago,59777,3901,135
Woodford,7114,200,3
