,County,Positive_Cases,Deaths,update_date,update_time
0,Illinois,27575,1134,04-17-2020,20:59
1,Chicago,11409,427,04-17-2020,20:59
2,Adams,30,0,04-17-2020,20:59
3,Alexander,1,0,04-17-2020,20:59
4,Bond,4,1,04-17-2020,20:59
5,Boone,21,2,04-17-2020,20:59
6,Bureau,7,0,04-17-2020,20:59
7,Calhoun,1,0,04-17-2020,20:59
8,Carroll,5,1,04-17-2020,20:59
9,Champaign,92,4,04-17-2020,20:59
10,Christian,24,4,04-17-2020,20:59
11,Clark,4,0,04-17-2020,20:59
12,Clay,1,0,04-17-2020,20:59
13,Clinton,42,0,04-17-2020,20:59
14,Coles,9,0,04-17-2020,20:59
15,Cook,7982,333,04-17-2020,20:59
16,Crawford,4,0,04-17-2020,20:59
17,Cumberland,2,0,04-17-2020,20:59
18,DeKalb,46,1,04-17-2020,20:59
19,De Witt,1,0,04-17-2020,20:59
20,Douglas,12,0,04-17-2020,20:59
21,DuPage,1560,77,04-17-2020,20:59
22,Effingham,3,1,04-17-2020,20:59
23,Fayette,12,1,04-17-2020,20:59
24,Ford,4,1,04-17-2020,20:59
25,Franklin,5,0,04-17-2020,20:59
26,Fulton,1,0,04-17-2020,20:59
27,Gallatin,2,0,04-17-2020,20:59
28,Greene,1,0,04-17-2020,20:59
29,Grundy,24,0,04-17-2020,20:59
30,Hancock,3,0,04-17-2020,20:59
31,Henderson,1,0,04-17-2020,20:59
32,Henry,28,0,04-17-2020,20:59
33,Iroquois,12,0,04-17-2020,20:59
34,Jackson,40,4,04-17-2020,20:59
35,Jasper,4,1,04-17-2020,20:59
36,Jefferson,11,0,04-17-2020,20:59
37,Jersey,8,0,04-17-2020,20:59
38,Jo Daviess,11,0,04-17-2020,20:59
39,Johnson,2,0,04-17-2020,20:59
40,Kane,538,28,04-17-2020,20:59
41,Kankakee,260,10,04-17-2020,20:59
42,Kendall,123,2,04-17-2020,20:59
43,Knox,3,0,04-17-2020,20:59
44,Lake,1914,71,04-17-2020,20:59
45,LaSalle,27,1,04-17-2020,20:59
46,Lawrence,2,0,04-17-2020,20:59
47,Lee,17,0,04-17-2020,20:59
48,Livingston,18,0,04-17-2020,20:59
49,Logan,4,0,04-17-2020,20:59
50,McDonough,3,0,04-17-2020,20:59
51,McHenry,306,13,04-17-2020,20:59
52,McLean,83,3,04-17-2020,20:59
53,Macon,47,5,04-17-2020,20:59
54,Macoupin,17,0,04-17-2020,20:59
55,Madison,157,5,04-17-2020,20:59
56,Marion,17,0,04-17-2020,20:59
57,Marshall,2,0,04-17-2020,20:59
58,Mason,4,0,04-17-2020,20:59
59,Massac,3,0,04-17-2020,20:59
60,Menard,2,0,04-17-2020,20:59
61,Mercer,4,0,04-17-2020,20:59
62,Monroe,52,6,04-17-2020,20:59
63,Montgomery,11,1,04-17-2020,20:59
64,Morgan,12,1,04-17-2020,20:59
65,Moultrie,2,0,04-17-2020,20:59
66,Ogle,40,1,04-17-2020,20:59
67,Peoria,34,1,04-17-2020,20:59
68,Perry,1,0,04-17-2020,20:59
69,Piatt,7,0,04-17-2020,20:59
70,Pike,1,0,04-17-2020,20:59
71,Pulaski,5,0,04-17-2020,20:59
72,Randolph,48,1,04-17-2020,20:59
73,Richland,2,0,04-17-2020,20:59
74,Rock Island,167,4,04-17-2020,20:59
75,St. Clair,254,17,04-17-2020,20:59
76,Saline,3,0,04-17-2020,20:59
77,Sangamon,58,3,04-17-2020,20:59
78,Schuyler,1,0,04-17-2020,20:59
79,Shelby,4,0,04-17-2020,20:59
80,Stark,1,0,04-17-2020,20:59
81,Stephenson,10,0,04-17-2020,20:59
82,Tazewell,21,3,04-17-2020,20:59
83,Unassigned,74,1,04-17-2020,20:59
84,Union,4,0,04-17-2020,20:59
85,Vermilion,8,0,04-17-2020,20:59
86,Wabash,1,0,04-17-2020,20:59
87,Warren,2,0,04-17-2020,20:59
88,Washington,5,0,04-17-2020,20:59
89,Wayne,1,0,04-17-2020,20:59
90,Whiteside,31,3,04-17-2020,20:59
91,Will,1566,90,04-17-2020,20:59
92,Williamson,13,0,04-17-2020,20:59
93,Winnebago,145,4,04-17-2020,20:59
94,Woodford,11,0,04-17-2020,20:59
