Zip,Positive_Cases,Tested
53142,6,49
60002,41,284
60004,70,870
60005,53,311
60007,75,340
60008,66,241
60010,35,255
60012,38,95
60013,37,156
60014,62,351
60015,87,460
60016,440,1230
60018,163,529
60020,15,103
60021,6,42
60022,17,136
60025,168,798
60026,76,279
60030,50,386
60031,111,528
60033,33,138
60035,134,612
60040,33,93
60041,14,82
60042,7,57
60043,14,59
60044,42,186
60045,79,337
60046,64,389
60047,58,269
60048,50,289
60050,71,289
60051,29,224
60053,118,515
60056,188,764
60060,105,389
60061,60,276
60062,115,676
60064,231,430
60067,45,328
60068,132,568
60069,22,137
60070,57,213
60073,187,670
60074,101,388
60076,218,982
60077,175,775
60081,23,89
60083,31,123
60084,76,135
60085,763,1430
60087,200,457
60088,20,49
60089,89,421
60090,168,608
60091,85,512
60093,92,400
60096,14,76
60097,17,99
60098,96,355
60099,202,472
60101,184,604
60102,39,222
60103,61,350
60104,195,552
60106,159,432
60107,140,424
60108,65,430
60110,90,237
60112,8,31
60115,31,278
60118,19,91
60119,11,86
60120,133,363
60123,115,393
60124,19,127
60126,114,594
60130,54,334
60131,101,398
60133,153,430
60134,40,219
60135,6,48
60136,15,58
60137,45,344
60139,133,491
60140,23,141
60141,7,117
60142,27,206
60143,27,118
60148,111,558
60152,12,90
60153,161,620
60154,88,430
60155,63,215
60156,34,201
60160,172,536
60162,67,216
60163,30,102
60164,135,669
60165,48,107
60169,85,321
60171,44,217
60172,41,200
60173,15,106
60174,31,306
60175,26,222
60176,32,169
60177,36,174
60178,12,147
60181,86,360
60185,114,428
60187,39,300
60188,151,525
60189,41,258
60190,11,104
60191,43,190
60192,18,133
60193,71,334
60194,38,176
60195,6,33
60201,156,1013
60202,142,851
60203,15,96
60301,12,63
60302,100,644
60304,38,302
60305,22,170
60401,27,137
60402,406,1465
60403,60,415
60404,44,297
60406,127,503
60408,6,65
60409,243,931
60410,15,151
60411,361,1445
60415,94,288
60417,72,322
60418,41,152
60419,172,679
60422,54,250
60423,71,387
60425,57,288
60426,203,773
60428,103,437
60429,119,609
60430,129,499
60431,80,520
60432,73,334
60433,88,316
60434,132,60
60435,273,1172
60436,60,415
60438,147,616
60439,48,281
60440,231,1118
60441,91,455
60442,20,125
60443,187,723
60445,61,279
60446,155,744
60447,13,189
60448,54,248
60449,41,218
60450,15,155
60451,53,339
60452,74,369
60453,248,899
60455,84,289
60456,16,68
60457,49,173
60458,33,228
60459,122,434
60461,34,161
60462,111,518
60463,57,235
60464,19,116
60465,66,259
60466,305,1003
60467,80,336
60468,14,45
60469,26,101
60471,110,463
60472,39,167
60473,211,722
60475,40,180
60476,6,42
60477,88,489
60478,149,696
60480,14,98
60481,12,120
60482,24,162
60484,57,214
60487,59,323
60490,70,393
60491,73,288
60501,66,217
60502,29,178
60503,17,105
60504,71,332
60505,249,534
60506,180,620
60510,31,255
60513,60,392
60514,25,156
60515,32,223
60516,43,285
60517,77,400
60521,43,322
60523,38,189
60525,99,609
60526,27,248
60527,142,608
60532,46,254
60534,45,182
60538,49,225
60540,41,459
60542,25,182
60543,64,297
60544,63,469
60545,18,86
60546,67,336
60548,9,72
60551,15,27
60554,10,96
60555,34,136
60558,16,146
60559,109,345
60560,27,156
60561,57,311
60563,49,395
60564,58,399
60565,82,377
60585,39,243
60586,120,703
60601,41,240
60604,6,27
60605,97,553
60606,26,177
60607,189,785
60608,522,1688
60609,457,1303
60610,125,689
60611,83,680
60612,331,1500
60613,196,806
60614,238,1179
60615,213,1145
60616,215,975
60617,422,1856
60618,426,1661
60619,506,1845
60620,603,2006
60621,254,832
60622,257,1114
60623,769,1814
60624,368,1214
60625,431,1373
60626,386,1243
60628,470,1697
60629,799,2014
60630,256,1235
60631,115,940
60632,648,1615
60633,70,284
60634,472,2401
60636,296,780
60637,286,1341
60638,363,1475
60639,825,2146
60640,375,1369
60641,390,1468
60642,57,381
60643,409,1495
60644,508,1479
60645,551,1602
60646,100,694
60647,360,1578
60649,381,1438
60651,509,1506
60652,270,880
60653,269,1021
60654,88,351
60655,149,875
60656,116,798
60657,182,1130
60659,318,895
60660,187,675
60661,22,150
60706,120,633
60707,245,1176
60712,93,349
60714,237,673
60803,83,388
60804,608,1649
60805,102,337
60827,158,592
60901,178,740
60914,52,384
60915,18,169
60950,16,178
60954,9,70
60958,7,37
60964,9,66
61008,59,209
61016,12,62
61021,13,303
61032,12,133
61065,10,65
61068,68,358
61071,16,70
61073,8,90
61080,6,44
61081,30,98
61101,21,182
61102,33,132
61103,30,209
61104,27,133
61107,21,212
61108,54,225
61109,36,204
61111,12,130
61114,20,96
61115,12,131
61201,65,207
61235,6,20
61241,12,72
61244,89,222
61252,6,37
61264,11,58
61265,90,325
61282,22,77
61342,9,58
61401,27,220
61462,43,97
61554,8,181
61603,7,155
61604,12,191
61611,14,136
61614,16,156
61615,12,133
61701,33,597
61704,17,448
61705,8,179
61761,18,490
61764,8,126
61801,12,230
61802,18,239
61820,7,225
61821,12,326
61822,26,298
61853,8,166
61874,6,95
61910,6,37
61920,10,96
61938,9,137
62002,41,136
62010,8,31
62024,7,23
62025,76,87
62034,23,42
62035,8,45
62040,43,233
62052,9,51
62056,8,92
62060,8,31
62069,7,46
62090,6,9
62095,9,49
62201,10,28
62203,13,30
62204,11,28
62205,13,31
62206,35,55
62207,22,20
62208,25,82
62220,35,95
62221,31,103
62223,23,52
62226,55,311
62231,36,130
62233,39,136
62234,23,96
62236,32,80
62249,9,61
62254,10,49
62258,12,56
62265,8,23
62269,34,126
62278,13,47
62286,10,65
62288,9,41
62294,10,48
62295,6,10
62298,25,80
62301,15,173
62305,13,67
62448,39,148
62454,6,67
62471,14,73
62521,69,405
62522,16,53
62526,12,124
62568,24,137
62618,18,102
62650,13,154
62684,20,41
62702,20,321
62703,8,225
62704,9,322
62707,7,69
62711,11,129
62801,40,302
62864,69,351
62901,44,251
62959,12,200
62966,8,126
62992,11,35
