Zip,Positive_Cases,Tested
53142,8,40
60002,39,268
60004,64,824
60005,49,277
60007,70,308
60008,54,209
60010,33,229
60012,23,64
60013,35,141
60014,53,268
60015,83,418
60016,398,1114
60018,138,453
60020,12,81
60021,6,32
60022,17,119
60025,159,740
60026,70,250
60030,48,331
60031,100,484
60033,24,106
60035,124,560
60040,22,76
60041,11,70
60042,7,49
60043,13,54
60044,40,167
60045,76,311
60046,63,349
60047,52,236
60048,48,260
60050,59,207
60051,23,159
60053,110,475
60056,168,685
60060,88,336
60061,52,251
60062,102,606
60064,204,367
60067,40,300
60068,117,491
60069,20,126
60070,52,183
60073,169,571
60074,94,328
60076,213,895
60077,163,701
60081,18,72
60083,29,114
60084,65,121
60085,655,1227
60087,172,401
60088,18,46
60089,82,383
60090,146,542
60091,79,476
60093,90,369
60096,13,70
60097,14,76
60098,84,257
60099,186,428
60101,158,538
60102,35,184
60103,54,296
60104,178,507
60106,137,380
60107,123,382
60108,50,367
60110,74,199
60115,24,237
60118,19,82
60119,9,75
60120,109,307
60123,97,340
60124,17,116
60126,105,534
60130,52,296
60131,90,343
60133,122,362
60134,37,192
60136,14,53
60137,39,303
60139,109,409
60140,21,118
60141,6,112
60142,24,157
60143,22,97
60148,105,494
60152,7,64
60153,144,547
60154,79,380
60155,49,185
60156,30,151
60160,148,476
60162,61,198
60163,29,88
60164,110,586
60165,44,96
60169,74,287
60171,42,195
60172,38,177
60173,12,92
60174,28,255
60175,24,195
60176,31,153
60177,31,146
60178,11,129
60181,83,319
60185,86,366
60187,32,244
60188,138,467
60189,40,222
60190,10,91
60191,32,162
60192,17,124
60193,63,295
60194,35,160
60201,135,927
60202,132,793
60203,16,91
60301,12,58
60302,94,582
60304,37,266
60305,19,157
60401,25,121
60402,333,1255
60403,55,378
60404,43,272
60406,115,447
60408,6,60
60409,226,830
60410,12,134
60411,326,1263
60415,89,271
60417,70,296
60418,38,138
60419,161,597
60422,52,223
60423,71,359
60425,54,257
60426,178,661
60428,96,386
60429,114,533
60430,118,456
60431,80,473
60432,64,301
60433,80,286
60434,83,55
60435,245,1050
60436,56,371
60438,136,557
60439,42,257
60440,193,987
60441,86,425
60442,17,107
60443,180,665
60445,54,243
60446,138,651
60447,10,156
60448,50,230
60449,39,199
60450,14,113
60451,50,302
60452,70,330
60453,210,791
60455,78,261
60456,16,65
60457,42,152
60458,30,213
60459,112,384
60461,33,150
60462,97,454
60463,50,206
60464,16,97
60465,60,234
60466,296,920
60467,72,291
60468,13,42
60469,20,83
60471,106,427
60472,36,148
60473,200,643
60475,40,168
60476,6,34
60477,77,435
60478,135,618
60480,14,89
60481,9,107
60482,23,148
60484,55,193
60487,53,284
60490,64,361
60491,72,261
60501,53,183
60502,26,154
60503,16,94
60504,59,267
60505,177,401
60506,150,528
60510,30,216
60513,57,343
60514,23,131
60515,28,188
60516,38,251
60517,69,359
60521,35,286
60523,37,176
60525,92,544
60526,26,232
60527,140,548
60532,43,228
60534,41,157
60538,38,194
60540,33,345
60542,21,162
60543,54,276
60544,57,419
60545,14,78
60546,61,303
60548,8,65
60551,15,27
60554,10,80
60555,32,118
60558,16,138
60559,95,300
60560,24,140
60561,50,279
60563,48,345
60564,54,363
60565,80,331
60585,38,212
60586,107,639
60601,38,207
60605,90,495
60606,24,163
60607,182,692
60608,457,1485
