Zip,Tested,Positive_Cases
60002,2135,136
60004,10226,432
60005,5245,269
60007,4529,391
60008,4959,402
60010,5333,259
60012,1170,100
60013,2333,172
60014,5354,414
60015,4081,221
60016,10304,1221
60018,6205,728
60020,1332,57
60021,474,32
60022,1156,44
60025,6457,478
60026,3986,201
60029,129,12
60030,4837,257
60031,5975,421
60033,1940,260
60035,6306,320
60040,1147,186
60041,1116,63
60042,854,64
60043,363,20
60044,1932,123
60045,3356,141
60046,3935,274
60047,7678,592
60048,3751,209
60050,3846,273
60051,2563,159
60053,4248,347
60056,7636,715
60060,4470,513
60061,3327,223
60062,8564,390
60064,2804,691
60067,6915,307
60068,6092,379
60069,3074,112
60070,2897,289
60071,374,20
60073,9501,1219
60074,4946,542
60076,6603,602
60077,5114,454
60079,141,13
60081,857,57
60083,1484,120
60084,1936,203
60085,14810,2641
60087,5363,774
60088,892,314
60089,5505,368
60090,6497,881
60091,3720,200
60093,3106,209
60096,733,57
60097,1128,57
60098,5320,433
60099,5343,651
60101,6064,887
60102,3341,248
60103,5364,364
60104,3808,494
60106,4941,585
60107,6434,730
60108,5045,388
60109,362,13
60110,4625,802
60112,490,35
60115,5377,362
60118,1722,107
60119,1072,53
60120,7954,1500
60123,8057,1020
60124,2565,179
60126,7978,485
60130,4534,185
60131,2978,399
60133,6273,829
60134,3452,236
60135,808,69
60136,847,86
60137,5059,250
60139,5476,724
60140,1908,122
60141,1072,24
60142,3286,159
60143,1898,212
60145,196,10
60146,274,14
60148,7260,494
60150,170,6
60151,374,22
60152,1329,89
60153,4313,584
60154,3272,238
60155,1343,197
60156,2823,211
60157,272,17
60160,4674,811
60162,2194,185
60163,904,109
60164,5778,576
60165,833,193
60169,4517,460
60171,1627,149
60172,3412,277
60173,1323,121
60174,4543,258
60175,2492,157
60176,1557,199
60177,3318,370
60178,2226,104
60181,3871,332
60184,248,12
60185,5756,842
60187,4750,201
60188,6232,587
60189,3929,158
60190,1917,83
60191,2062,252
60192,1544,80
60193,5766,327
60194,3526,210
60195,444,24
60201,7714,369
60202,6046,478
60203,784,42
60301,551,37
60302,6281,276
60304,2838,100
60305,1806,92
60401,1395,68
60402,11997,1592
60403,3121,265
60404,2704,145
60406,4952,598
60408,832,30
60409,7565,765
60410,1405,63
60411,11363,1166
60415,2590,257
60416,838,34
60417,2959,212
60418,1078,147
60419,5354,503
60420,504,14
60421,356,17
60422,1902,119
60423,3729,231
60424,198,6
60425,2453,205
60426,5709,561
60428,2464,258
60429,3583,274
60430,3806,318
60431,4153,281
60432,3374,528
60433,3483,368
60434,482,185
60435,9402,803
60436,3249,288
60438,4987,514
60439,3420,161
60440,10726,996
60441,3565,285
60442,981,63
60443,4476,438
60445,3001,222
60446,6820,628
60447,1498,67
60448,2528,196
60449,1465,94
60450,2451,102
60451,3424,218
60452,3733,305
60453,9715,967
60455,3416,413
60456,623,59
60457,2230,175
60458,2007,196
60459,4678,513
60461,1001,76
60462,5888,467
60463,2352,282
60464,1345,80
60465,2313,327
60466,5048,561
60467,3135,240
60468,746,44
60469,996,122
60471,2837,255
60472,1054,80
60473,5985,520
60475,1427,111
60476,498,39
60477,4891,341
60478,4214,408
60480,868,50
60481,1735,52
60482,1251,135
60484,1209,145
60487,2912,215
60490,3215,191
60491,2324,195
60501,1970,328
60502,2570,147
60503,1784,102
60504,5227,428
60505,12674,2137
60506,11165,1243
60510,4090,173
60512,150,6
60513,3535,220
60514,1429,88
60515,3412,147
60516,3743,189
60517,4584,284
60518,262,16
60520,299,13
60521,2984,242
60523,1696,124
60525,6994,390
60526,4016,119
60527,5815,340
60531,190,10
60532,3921,184
60534,1871,208
60538,4006,374
60540,5479,196
60541,290,12
60542,2956,230
60543,5158,361
60544,4594,242
60545,1936,186
60546,4483,194
60548,2360,157
60551,382,31
60552,504,17
60554,1419,67
60555,1934,158
60558,2233,111
60559,3799,384
60560,2954,166
60561,3322,161
60563,6009,234
60564,5065,276
60565,4856,240
60585,2978,151
60586,6672,516
60601,2044,100
60602,413,17
60603,213,10
60604,272,24
60605,4961,267
60606,1493,43
60607,5163,529
60608,15224,1975
60609,12794,2005
60610,7337,369
60611,6899,239
60612,8312,793
60613,8240,503
60614,12811,667
