County,Tested,Positive_Cases,Deaths
Illinois,2212398,160610,7290
Adams,12901,244,1
Alexander,818,30,0
Bond,1554,24,2
Boone,7034,647,21
Brown,601,10,0
Bureau,3149,50,2
Calhoun,356,2,0
Carroll,1120,24,2
Cass,2284,146,10
Champaign,50380,1203,17
Chicago,549423,56780,2724
Christian,3549,55,4
Clark,1475,49,0
Clay,1423,8,0
Clinton,4994,267,16
Coles,8299,231,17
Cook,454906,41512,2050
Crawford,1251,23,0
Cumberland,1415,36,1
De Witt,1378,20,0
DeKalb,12479,691,23
Douglas,2478,74,0
DuPage,140050,10107,497
Edgar,1523,21,0
Edwards,331,5,0
Effingham,3677,40,1
Fayette,2065,34,3
Ford,1897,32,1
Franklin,4024,68,0
Fulton,3477,18,0
Gallatin,262,12,0
Greene,1199,13,0
Grundy,4850,210,5
Hamilton,535,8,0
Hancock,2448,22,1
Hardin,224,5,0
Henderson,473,8,0
Henry,6103,140,1
Iroquois,4648,180,5
Jackson,7240,389,19
Jasper,1146,48,7
Jefferson,3767,127,17
Jersey,1699,51,1
Jo Daviess,2227,63,1
Johnson,997,36,0
Kane,77781,8345,289
Kankakee,23103,1499,66
Kendall,15063,1116,21
Knox,5066,187,0
Lake,114650,10767,433
LaSalle,11432,313,18
Lawrence,1501,21,0
Lee,3033,113,2
Livingston,3659,58,2
Logan,5241,41,0
Macon,11929,270,22
Macoupin,7223,86,3
Madison,27530,1457,71
Marion,4072,88,0
Marshall,1240,15,0
Mason,1847,34,0
Massac,1278,20,0
McDonough,3079,112,15
McHenry,32194,2446,107
McLean,18441,382,15
Menard,1915,34,0
Mercer,1672,33,0
Monroe,2582,190,13
Montgomery,4725,104,2
Morgan,5592,142,5
Moultrie,1474,30,0
Ogle,6182,336,5
Peoria,29957,813,31
Perry,2443,67,1
Piatt,2614,25,0
Pike,1136,9,0
Pope,207,2,0
Pulaski,665,88,0
Putnam,347,2,0
Randolph,4517,359,7
Richland,2032,10,0
Rock Island,26838,1321,30
Saline,2209,40,0
Sangamon,41917,642,33
Schuyler,739,14,0
Scott,633,1,0
Shelby,2352,27,1
St. Clair,30761,2650,149
Stark,724,7,0
Stephenson,6009,288,6
Tazewell,18922,216,8
Unassigned,45491,34,0
Union,2755,229,21
Vermilion,8496,116,2
Wabash,917,23,0
Warren,1417,152,0
Washington,1110,30,0
Wayne,1441,22,1
White,1118,24,0
Whiteside,5891,228,16
Will,97306,7592,331
Williamson,8710,196,4
Winnebago,42605,3318,108
Woodford,3753,63,3
