Zip,Tested,Positive_Cases
60002,"4,917",272
60004,"24,072",804
60005,"13,529",517
60007,"11,400",671
60008,"10,589",645
60010,"15,030",645
60012,"3,449",173
60013,"6,347",335
60014,"13,598",817
60015,"11,213",444
60016,"22,777","1,738"
60018,"14,883","1,046"
60020,"3,303",144
60021,"1,208",66
60022,"3,274",92
60025,"15,975",789
60026,"7,665",293
60029,274,23
60030,"11,840",543
60031,"14,239",820
60033,"4,843",512
60034,601,28
60035,"15,659",487
60040,"3,445",258
60041,"2,628",138
60042,"2,123",124
60043,"1,012",43
60044,"6,094",208
60045,"9,018",269
60046,"10,221",571
60047,"17,080",887
60048,"10,526",411
60050,"9,379",480
60051,"6,489",328
60053,"11,582",553
60056,"18,414","1,154"
60060,"11,005",846
60061,"8,598",406
60062,"24,059",645
60064,"6,331","1,346"
60067,"19,362",759
60068,"15,160",715
60069,"7,043",179
60070,"7,153",453
60071,"1,080",57
60072,267,8
60073,"21,169","2,086"
60074,"12,316",941
60076,"14,630",906
60077,"12,259",671
60079,713,17
60081,"2,275",143
60083,"3,534",221
60084,"6,398",320
60085,"32,597","3,785"
60087,"11,207","1,211"
60088,"2,334",559
60089,"14,262",614
60090,"16,874","1,287"
60091,"10,001",380
60093,"8,014",343
60096,"1,770",137
60097,"2,929",149
60098,"12,000",745
60099,"11,365","1,082"
60101,"12,700","1,432"
60102,"8,597",597
60103,"14,944",875
60104,"7,640",717
60106,"9,117",810
60107,"14,432","1,276"
60108,"13,255",671
60109,511,20
60110,"11,014","1,368"
60112,"1,538",98
60115,"18,332","1,011"
60118,"4,567",265
60119,"3,292",150
60120,"16,446","2,212"
60121,178,7
60123,"19,024","1,641"
60124,"7,449",452
60126,"21,441","1,073"
60129,71,7
60130,"10,742",331
60131,"6,464",686
60133,"14,512","1,338"
60134,"10,648",568
60135,"2,234",136
60136,"2,283",179
60137,"15,281",661
60139,"11,939","1,132"
60140,"5,246",334
60141,"1,645",32
60142,"9,111",413
60143,"4,386",349
60145,608,37
60146,864,55
60148,"20,594",960
60150,518,22
60151,"1,164",50
60152,"3,524",195
60153,"8,880",829
60154,"6,890",403
60155,"2,938",275
60156,"7,471",490
60157,803,40
60159,41,6
60160,"9,870","1,233"
60161,67,6
60162,"4,625",263
60163,"2,112",217
60164,"13,732",924
60165,"1,522",264
60168,69,7
60169,"10,527",747
60171,"3,756",286
60172,"8,260",556
60173,"3,517",245
60174,"13,848",657
60175,"11,990",502
60176,"3,540",403
60177,"9,891",711
60178,"6,837",291
60180,398,15
60181,"10,237",650
60184,757,55
60185,"13,876","1,258"
