County,Tested,Positive_Cases,Deaths
Illinois,3189801,198593,7672
Adams,20143,580,6
Alexander,1204,37,0
Bond,3452,64,3
Boone,9448,770,23
Brown,1060,15,0
Bureau,4570,241,3
Calhoun,481,11,0
Carroll,1752,64,4
Cass,3271,238,11
Champaign,94648,1709,19
Chicago,757023,64611,2812
Christian,6625,144,4
Clark,2501,87,2
Clay,1776,27,0
Clinton,7361,419,17
Coles,13267,520,21
Cook,621218,48433,2122
Crawford,1700,29,0
Cumberland,2179,57,3
De Witt,2084,34,0
DeKalb,17391,956,31
Douglas,4498,129,3
DuPage,203486,12511,522
Edgar,1935,29,0
Edwards,448,24,0
Effingham,5956,183,1
Fayette,2867,71,3
Ford,2624,50,2
Franklin,6135,198,1
Fulton,5419,37,0
Gallatin,459,51,2
Greene,1898,66,0
Grundy,6907,343,5
Hamilton,823,30,0
Hancock,3323,68,1
Hardin,514,18,0
Henderson,646,14,0
Henry,9509,262,1
Iroquois,6487,269,12
Jackson,11565,740,20
Jasper,1487,59,7
Jefferson,5518,304,20
Jersey,2735,122,2
Jo Daviess,3073,133,1
Johnson,1515,70,0
Kane,109853,9948,305
Kankakee,31594,1807,69
Kendall,21456,1412,23
Knox,8786,324,1
Lake,162965,12939,449
LaSalle,17703,825,25
Lawrence,2504,51,0
Lee,4412,186,1
Livingston,5206,130,3
Logan,7889,166,1
Macon,20666,678,23
Macoupin,10930,200,3
Madison,45055,2777,78
Marion,5968,169,0
Marshall,1790,28,0
Mason,2635,57,0
Massac,1787,42,0
McDonough,4197,147,15
McHenry,47631,3279,114
McLean,32648,686,15
Menard,2891,58,0
Mercer,2565,77,4
Monroe,4434,332,13
Montgomery,7752,174,7
Morgan,8627,286,6
Moultrie,2392,93,0
Ogle,8759,420,5
Peoria,49593,1717,36
Perry,3551,185,3
Piatt,4432,64,0
Pike,1692,26,0
Pope,338,11,0
Pulaski,889,97,1
Putnam,550,14,0
Randolph,6550,486,7
Richland,2685,22,0
Rock Island,37771,1784,38
Saline,3703,134,2
Sangamon,63096,1323,33
Schuyler,1084,19,0
Scott,1184,27,0
Shelby,3800,90,1
St. Clair,48286,4155,162
Stark,1052,7,0
Stephenson,7486,335,6
Tazewell,32448,581,8
Unassigned,51177,95,0
Union,3746,330,23
Vermilion,14752,249,2
Wabash,1212,42,0
Warren,2259,194,0
Washington,1665,67,0
Wayne,1882,66,2
White,1684,72,0
Whiteside,8872,367,17
Will,134006,9486,346
Williamson,13678,454,7
Winnebago,57168,3806,131
Woodford,6528,170,3
