Zip,Positive_Cases,Tested
53142,7,34
60002,35,257
60004,64,768
60005,44,239
60007,63,278
60008,42,175
60010,32,215
60012,20,57
60013,32,128
60014,48,248
60015,81,393
60016,360,1001
60018,124,400
60020,10,77
60021,6,32
60022,15,113
60025,151,688
60026,66,230
60030,47,309
60031,88,437
60033,20,99
60035,112,527
60040,19,71
60041,9,63
60042,7,44
60043,13,54
60044,38,161
60045,77,297
60046,62,325
60047,46,221
60048,47,240
60050,50,195
60051,20,149
60053,97,437
60056,143,600
60060,78,304
60061,45,230
60062,92,554
60064,171,314
60067,38,272
60068,107,449
60069,19,115
60070,44,155
60073,151,520
60074,82,279
60076,187,801
60077,149,656
60081,15,62
60083,27,106
60084,56,111
60085,582,1101
60087,153,366
60088,16,41
60089,73,364
60090,123,473
60091,77,456
60093,90,352
60096,11,66
60097,9,71
60098,73,252
60099,175,383
60101,139,463
60102,35,166
60103,47,246
60104,166,453
60106,127,326
60107,102,327
60108,46,335
60110,51,160
60115,23,203
60118,18,77
60119,8,63
60120,96,265
60123,84,296
60124,16,105
60126,97,479
60130,52,268
60131,78,293
60133,101,311
60134,20,151
60136,13,52
60137,36,264
60139,90,351
60140,19,104
60141,6,103
60142,22,143
60143,16,82
60148,98,447
60153,134,486
60154,73,336
60155,43,161
60156,27,140
60160,124,414
60162,56,181
60163,24,75
60164,91,366
60165,36,78
60169,60,255
60171,36,173
60172,32,152
60173,11,81
60174,26,219
60175,25,174
60176,25,131
60177,27,125
60178,11,115
60181,74,285
60185,74,282
60187,25,191
60188,129,403
60189,37,199
60190,9,74
60191,29,148
60192,16,111
60193,57,269
60194,29,147
60201,127,873
60202,124,730
60203,14,82
60301,11,54
60302,87,536
60304,34,238
60305,18,138
60401,23,109
60402,297,1105
60403,56,353
60404,39,257
60406,104,376
60409,211,715
60410,12,121
60411,297,1096
60415,84,240
60417,67,245
60418,32,119
60419,150,504
60422,51,196
60423,65,325
60425,52,213
60426,163,577
60428,89,329
60429,107,449
60430,107,405
60431,76,443
60432,53,267
60433,70,258
60434,73,51
60435,230,976
60436,49,343
60438,126,466
60439,41,232
60440,179,904
60441,77,401
60442,16,101
60443,166,593
60445,52,208
60446,122,590
60447,10,149
60448,45,207
60449,34,180
60450,14,104
60451,46,285
60452,63,300
60453,195,676
60455,73,234
60456,15,55
60457,37,132
60458,30,177
60459,103,335
60461,32,133
60462,93,413
60463,45,179
60464,14,86
60465,54,203
60466,241,649
60467,63,267
60468,11,35
60469,19,75
60471,99,372
60472,37,134
60473,179,554
60475,39,141
60476,6,29
60477,71,379
60478,125,525
60480,11,79
60481,9,95
60482,22,134
60484,51,166
60487,49,258
60490,62,344
60491,67,238
60501,42,137
60502,27,136
60503,13,84
60504,51,241
60505,117,340
60506,122,446
60510,20,172
60513,52,302
60514,24,116
60515,27,175
60516,35,226
60517,68,327
60521,32,258
60523,36,161
60525,86,502
60526,25,208
60527,135,508
60532,41,209
60534,34,137
60538,30,173
60540,31,311
60542,18,137
60543,48,251
60544,53,385
60545,10,69
60546,59,277
60548,8,50
60551,9,23
60554,9,65
60555,22,97
60558,15,129
60559,86,275
60560,21,129
60561,50,263
60563,44,310
60564,49,337
60565,75,299
60585,35,189
60586,97,590
60601,36,194
60605,80,468
60606,20,146
60607,147,559
60608,399,1342
60609,337,987
60610,111,572
60611,76,556
60612,289,1259
60613,172,657
60614,200,937
60615,193,998
60616,200,838
60617,369,1535
60618,331,1332
60619,425,1462
60620,487,1428
60621,209,659
60622,224,905
60623,521,1296
60624,301,967
60625,335,1081
60626,281,986
60628,409,1406
60629,551,1438
60630,187,980
60631,100,786
60632,453,1196
60633,53,205
60634,373,1897
60636,239,630
60637,245,1120
60638,243,1074
