Zip,Positive_Cases,Tested
53142,6,53
60002,43,291
60004,75,908
60005,53,327
60007,81,376
60008,71,260
60010,36,275
60012,38,103
60013,38,168
60014,63,375
60015,90,479
60016,464,1306
60018,177,570
60020,15,105
60021,6,47
60022,17,142
60025,171,826
60026,77,291
60030,52,402
60031,116,550
60033,35,142
60035,137,637
60040,34,96
60041,14,85
60042,7,59
60043,14,62
60044,42,197
60045,80,351
60046,65,405
60047,58,289
60048,52,298
60050,76,297
60051,29,228
60053,123,534
60056,198,813
60060,111,410
60061,60,283
60062,119,709
60064,234,440
60067,48,350
60068,138,604
60069,23,141
60070,62,229
60073,195,698
60074,105,408
60076,226,1027
60077,180,800
60081,23,90
60083,33,125
60084,77,141
60085,800,1497
60087,213,480
60088,20,50
60089,90,455
60090,181,643
60091,87,524
60093,92,414
60096,14,77
60097,17,102
60098,99,364
60099,205,501
60101,202,647
60102,39,231
60103,66,373
60104,200,577
60106,170,461
60107,156,474
60108,67,443
60110,94,250
60112,8,32
60115,31,290
60118,20,102
60119,11,94
60120,147,404
60123,117,415
60124,19,136
60126,119,626
60130,57,353
60131,106,420
60133,166,470
60134,40,231
60135,6,50
60136,15,65
60137,45,365
60139,148,521
60140,23,154
60141,6,120
60142,28,217
60143,33,137
60148,114,577
60152,12,98
60153,173,642
60154,91,453
60155,71,227
60156,37,219
60160,183,575
60162,70,225
60163,31,112
60164,144,704
60165,49,115
60169,91,345
60171,44,225
60172,46,215
60173,18,112
60174,35,319
60175,27,230
60176,35,187
60177,37,191
60178,12,151
60181,88,379
60185,128,467
60187,39,310
60188,159,552
60189,41,274
60190,11,118
60191,45,208
60192,19,143
60193,75,376
60194,41,197
60195,6,36
60201,159,1052
60202,146,887
60203,17,100
60301,12,64
60302,101,662
60304,41,319
60305,24,183
60401,26,142
60402,419,1529
60403,64,436
60404,44,312
60406,137,545
60408,6,67
60409,253,989
60410,15,160
60411,403,1633
60415,95,296
60417,74,333
60418,42,168
60419,174,704
60422,54,260
60423,75,413
60425,57,309
60426,210,814
60428,107,465
60429,123,640
60430,136,525
60431,83,539
60432,81,359
60433,93,332
60434,132,61
60435,280,1228
60436,64,430
60438,151,654
60439,46,298
60440,243,1176
60441,94,479
60442,20,134
60443,194,784
60445,63,302
60446,161,788
60447,13,201
60448,57,268
60449,41,231
60450,15,163
60451,52,358
60452,74,395
60453,258,942
60455,98,389
60456,17,69
60457,50,180
60458,34,239
60459,127,457
60461,34,172
60462,114,545
60463,62,247
60464,19,124
60465,69,268
60466,312,1054
60467,84,354
60468,14,47
60469,26,105
60471,115,492
60472,40,173
60473,215,758
60475,41,191
60476,8,46
60477,92,528
60478,155,745
60480,14,99
60481,12,127
60482,25,167
60484,57,226
60487,59,334
60490,71,409
60491,75,304
60501,68,225
60502,30,190
60503,17,113
60504,75,350
60505,268,585
60506,191,678
60510,32,267
60513,62,411
60514,25,167
60515,32,245
60516,46,301
60517,79,428
60521,45,335
60523,39,198
60525,103,651
60526,29,260
60527,145,636
60532,54,266
60534,46,187
60538,53,237
60540,45,481
60542,27,196
60543,67,312
60544,63,486
60545,18,91
60546,67,349
60548,9,75
60551,15,29
60554,10,98
60555,37,146
60558,16,156
60559,116,361
60560,28,163
60561,60,333
60563,52,412
60564,62,412
60565,87,400
60585,39,256
60586,124,740
60601,41,246
60604,6,28
60605,100,579
60606,27,178
60607,193,802
60608,537,1753
60609,479,1358
60610,128,725
60611,84,717
60612,336,1545
60613,199,831
60614,241,1221
60615,218,1182
60616,217,998
60617,433,1933
60618,438,1739
60619,520,1936
60620,644,2207
60621,260,872
60622,265,1164
60623,823,1934
60624,378,1252
60625,453,1432
60626,403,1329
60628,496,1795
60629,842,2139
60630,267,1293
60631,119,968
60632,715,1739
60633,82,377
60634,484,2508
60636,307,813
60637,297,1622
60638,373,1545
60639,882,2329
60640,382,1411
60641,410,1546
60642,57,394
60643,419,1563
60644,522,1558
60645,564,1675
60646,103,724
60647,382,1668
60649,409,1527
60651,533,1592
60652,282,932
60653,277,1059
60654,89,357
60655,153,903
60656,119,833
60657,183,1164
60659,328,941
60660,191,704
60661,22,151
60706,128,662
60707,256,1245
60712,94,365
60714,254,720
60803,89,416
60804,811,2030
60805,110,357
60827,163,642
60901,180,771
60914,53,410
60915,18,180
60950,16,183
60954,10,73
60958,8,40
60964,9,67
61008,64,226
61016,12,63
61021,13,309
61032,12,134
61065,10,65
61068,69,366
61071,16,72
61073,8,94
61080,6,46
61081,32,101
61101,21,183
61102,37,140
61103,31,217
61104,29,142
61107,22,217
61108,58,234
61109,37,211
61111,12,136
61114,21,102
61115,14,136
61201,68,229
61235,6,20
61241,12,73
61244,89,228
61252,6,40
61264,11,63
61265,94,339
61282,22,79
61342,9,60
61401,30,232
61462,48,109
61554,8,196
61603,7,180
61604,15,229
61611,14,159
61614,19,181
61615,12,152
61701,33,619
61704,17,467
61705,8,182
61761,18,518
61764,8,135
61801,14,248
61802,18,261
61820,7,247
61821,12,356
61822,26,315
61832,6,238
61853,8,179
61874,6,103
61910,6,39
61920,10,103
61938,9,143
62002,42,143
62010,8,35
62024,7,24
62025,92,204
62034,24,56
62035,9,51
62040,46,247
62052,9,51
62056,8,92
62060,9,37
62069,7,46
62090,6,11
62095,9,49
62201,10,34
62203,13,36
62204,12,33
62205,14,38
62206,39,114
62207,22,35
62208,25,93
62220,41,107
62221,34,114
62223,26,61
62226,56,320
62231,38,136
62233,44,145
62234,25,115
62236,32,81
62239,6,14
62249,10,62
62254,11,50
62258,12,56
62265,8,23
62269,36,136
62272,12,22
62278,13,49
62286,12,74
62288,14,50
62294,10,51
62295,6,10
62298,26,83
62301,15,184
62305,13,68
62448,38,153
62454,7,72
62471,14,77
62521,69,410
62522,16,55
62526,14,127
62565,6,31
62568,24,137
62618,22,148
62650,14,159
62684,22,49
62702,22,331
62703,10,237
62704,11,338
62707,8,72
62711,11,133
62801,40,309
62832,6,98
62864,71,369
62901,48,263
62918,7,85
62959,13,277
62966,11,138
62992,11,36
