Zip,Tested,Positive_Cases
60002,2712,162
60004,12573,448
60005,6589,299
60007,5635,427
60008,5925,448
60010,7039,333
60012,1452,121
60013,3135,216
60014,6793,503
60015,5424,269
60016,12374,1301
60018,7178,758
60020,1721,77
60021,610,37
60022,1572,53
60025,8086,526
60026,4933,215
60029,153,12
60030,6154,315
60031,7633,493
60033,2433,304
60034,274,6
60035,8087,350
60040,1391,186
60041,1410,73
60042,1127,71
60043,460,20
60044,2589,131
60045,4130,155
60046,5255,356
60047,9848,632
60048,4869,234
60050,4893,328
60051,3315,187
60053,5398,388
60056,9631,785
60060,5934,561
60061,4352,253
60062,11011,435
60064,3383,725
60067,9046,369
60068,7466,414
60069,3663,119
60070,3573,307
60071,513,24
60073,12322,1416
60074,6198,603
60076,8214,652
60077,6010,487
60079,164,14
60081,1129,76
60083,1863,146
60084,2505,223
60085,17751,2869
60087,6529,887
60088,1139,428
60089,7026,401
60090,8141,949
60091,4995,222
60093,3982,217
60096,976,75
60097,1429,76
60098,6534,504
60099,6453,738
60101,7317,958
60102,4359,316
60103,6920,447
60104,4516,533
60106,5577,609
60107,7836,794
60108,6611,424
60109,393,15
60110,6067,931
60112,618,47
60115,6803,436
60118,2327,122
60119,1451,81
60120,9829,1605
60123,10132,1110
60124,3618,237
60126,10001,567
60130,5877,208
60131,3608,437
60133,7642,912
60134,4609,289
60135,1013,87
60136,1138,102
60137,7128,351
60139,6678,794
60140,2545,171
60141,1238,24
60142,4175,202
60143,2285,227
60145,255,15
60146,349,18
60148,9269,580
60150,225,8
60151,487,27
60152,1659,102
60153,5111,632
60154,3965,258
60155,1606,209
60156,3717,277
60157,365,20
60160,5470,869
60162,2744,199
60163,1090,116
60164,6887,641
60165,961,204
60169,5724,517
60171,2035,168
60172,4330,311
60173,1708,141
60174,5950,340
60175,3592,243
60176,1891,228
60177,4297,426
60178,2873,143
60180,181,7
60181,4868,376
60184,325,16
60185,7036,907
60187,6799,242
60188,7983,665
60189,5398,223
60190,2511,106
60191,2518,265
60192,2035,108
60193,7073,379
60194,4459,230
60195,579,28
60201,9736,396
60202,7656,505
60203,1008,44
60301,679,41
60302,8173,325
60304,3791,121
60305,2465,111
60401,1646,72
60402,14429,1777
60403,3698,296
60404,3296,192
60406,6020,687
60408,998,32
60409,9295,866
60410,1817,95
60411,13209,1270
60415,3080,290
60416,1059,50
60417,3569,231
