Zip,Positive_Cases,Tested
53142,6,62
60002,48,317
60004,87,975
60005,61,355
60007,86,405
60008,84,289
60010,39,306
60012,43,115
60013,38,185
60014,67,430
60015,91,508
60016,494,1431
60018,207,643
60020,14,119
60021,6,56
60022,17,153
60025,178,886
60026,79,305
60030,58,436
60031,121,583
60033,40,154
60035,139,662
60040,37,101
60041,17,96
60042,7,63
60043,14,69
60044,47,219
60045,83,380
60046,68,427
60047,64,312
60048,54,315
60050,79,335
60051,34,242
60053,128,562
60056,221,871
60060,124,453
60061,65,304
60062,134,767
60064,250,483
60067,53,395
60068,149,652
60069,30,151
60070,67,253
60073,210,749
60074,114,454
60076,235,1083
60077,193,842
60081,23,93
60083,36,142
60084,77,153
60085,869,1635
60087,228,521
60088,22,57
60089,101,488
60090,198,699
60091,91,562
60093,95,455
60096,15,86
60097,18,120
60098,105,388
60099,218,547
60101,242,717
60102,43,251
60103,77,430
60104,206,623
60106,202,615
60107,168,535
60108,78,479
60110,116,322
60112,10,40
60115,34,326
60118,22,112
60119,11,103
60120,183,461
60123,130,465
60124,18,153
60126,123,685
60130,58,383
60131,110,460
60133,194,539
60134,65,259
60136,18,73
60137,56,397
60139,180,598
60140,24,161
60141,6,120
60142,31,240
60143,44,169
60148,124,635
60152,14,106
60153,195,714
60154,92,480
60155,82,256
60156,43,251
60160,201,668
60162,73,248
60163,31,121
60164,168,763
60165,51,124
60169,103,393
60171,45,244
60172,51,234
60173,19,118
60174,38,345
60175,27,252
60176,47,218
60177,40,213
60178,13,169
60181,93,417
60185,148,527
60187,39,336
60188,173,615
60189,44,300
60190,11,183
60191,49,227
60192,21,154
60193,80,418
60194,46,221
60195,6,36
60201,170,1116
60202,152,931
60203,17,109
60301,13,69
60302,105,718
60304,46,350
60305,25,205
60401,26,153
60402,461,1692
60403,68,460
60404,46,337
60406,150,598
60408,6,70
60409,266,1077
60410,15,167
60411,428,1776
60415,98,319
60417,77,361
60418,43,188
60419,191,775
60422,55,299
60423,78,448
60425,60,331
60426,224,922
60428,116,525
60429,124,706
60430,145,584
60431,85,576
60432,86,383
60433,96,354
60434,132,65
60435,298,1331
60436,65,454
60438,170,720
60439,48,337
60440,261,1273
60441,102,520
60442,20,145
60443,203,842
60445,71,351
60446,174,855
60447,14,215
60448,61,303
60449,43,256
60450,15,176
60451,50,384
60452,82,453
60453,296,1070
60455,167,650
60456,18,80
60457,53,196
60458,44,279
60459,143,525
60461,37,187
60462,119,606
60463,76,279
60464,22,133
60465,73,299
60466,321,1105
60467,88,376
60468,15,59
60469,29,116
60471,123,520
60472,40,191
60473,220,824
60475,44,210
60476,9,52
60477,100,597
60478,166,811
60480,16,107
60481,12,136
60482,28,185
60484,59,236
60487,64,369
60490,77,445
60491,75,321
60501,79,254
60502,32,212
60503,20,124
60504,79,386
60505,331,703
60506,233,943
60510,33,297
60513,65,453
60514,25,178
60515,37,281
60516,50,331
60517,94,473
60521,63,378
60523,43,219
60525,113,699
60526,31,286
60527,150,690
60532,56,305
60534,50,200
60538,65,277
60540,48,527
60542,30,224
60543,70,347
60544,69,516
60545,22,114
60546,69,369
60548,10,82
60551,15,31
60554,12,105
60555,40,166
60558,17,175
60559,123,404
60560,34,193
60561,66,371
60563,58,450
60564,68,449
60565,90,441
60585,42,272
60586,136,806
60601,45,289
60604,6,30
60605,111,642
60606,29,195
60607,206,887
60608,587,1980
60609,544,1514
60610,134,814
60611,86,774
60612,351,1671
60613,213,918
60614,257,1375
60615,227,1273
60616,224,1073
60617,456,2108
60618,473,1925
60619,540,2079
60620,664,2361
60621,275,930
60622,276,1284
60623,946,2200
60624,396,1329
60625,504,1595
60626,469,1535
60628,571,2018
60629,957,2419
60630,288,1392
60631,126,1037
60632,853,2032
60633,106,505
60634,539,2743
60636,333,902
60637,312,1729
60638,412,1709
60639,1009,2623
60640,408,1543
60641,471,1736
60642,60,426
60643,461,1810
60644,554,1656
60645,588,1768
60646,111,784
60647,460,1897
60649,430,1670
60651,585,1793
60652,320,1051
60653,283,1124
60654,89,403
60655,161,973
60656,126,898
60657,194,1294
60659,344,1005
60660,202,770
60661,23,175
60706,139,727
60707,285,1362
60712,96,392
60714,277,783
60803,96,458
60804,921,2397
60805,123,400
60827,177,721
60901,184,817
60914,55,477
60915,18,203
60950,17,191
60954,11,86
60958,8,45
60964,9,70
61008,67,237
61016,11,69
61021,15,327
61032,18,158
61065,11,68
61068,89,654
61071,17,90
61073,8,97
61080,6,51
61081,42,140
61101,33,223
61102,41,172
61103,31,242
61104,40,196
61107,25,235
61108,65,277
61109,45,270
61111,12,161
61114,22,107
61115,17,155
61201,84,279
61235,6,22
61241,13,82
61244,97,254
61252,6,42
61264,12,71
61265,105,392
61275,7,32
61282,22,86
61342,14,80
61356,6,64
61401,32,248
61455,8,87
61462,51,121
61554,9,229
61603,9,215
61604,15,302
61611,16,179
61614,26,237
61615,12,187
61701,34,664
61704,17,505
61705,8,199
61761,22,571
61764,8,141
61801,16,269
61802,20,278
61820,8,266
61821,12,381
61822,27,328
61832,9,261
61853,9,186
61866,6,205
61874,6,112
61910,6,42
61920,10,117
61938,9,154
62002,45,168
62010,8,38
62024,7,25
62025,91,342
62034,30,65
62035,11,59
62040,49,251
62052,9,51
62056,9,106
62060,9,39
62069,7,48
62088,6,173
62090,7,13
62095,9,50
62201,10,34
62203,15,39
62204,15,36
62205,17,43
62206,39,194
62207,25,41
62208,31,100
62220,42,113
62221,35,130
62223,28,70
62226,63,340
62230,6,33
62231,39,141
62233,52,159
62234,27,126
62236,32,83
62239,6,18
62249,10,68
62254,11,53
62258,13,56
62265,8,28
62269,38,151
62272,16,30
62278,14,55
62285,6,24
62286,17,85
62288,18,63
62294,11,52
62295,6,10
62298,29,85
62301,18,196
62305,15,73
62448,40,160
62454,7,79
62471,15,82
62521,69,430
62522,15,60
62526,16,144
62565,6,34
62568,24,145
62618,24,183
62650,18,184
62656,7,211
62684,49,95
62702,33,388
62703,17,272
62704,15,387
62707,9,81
62711,11,144
62801,40,336
62832,8,110
62864,70,393
62901,53,288
62918,7,90
62959,14,333
62966,13,145
62992,14,39
