County,Positive_Cases,Deaths,Tested
Illinois,45883,1983,227628
Chicago,18682,772,0
Adams,33,0,0
Alexander,3,0,0
Bond,5,1,0
Boone,79,9,0
Bureau,10,0,0
Calhoun,1,0,0
Carroll,9,2,0
Cass,25,0,0
Champaign,107,6,0
Christian,28,4,0
Clark,4,0,0
Clay,2,0,0
Clinton,85,1,0
Coles,22,1,0
Cook,13271,575,0
Crawford,10,0,0
Cumberland,3,0,0
DeKalb,76,1,0
De Witt,1,0,0
Douglas,14,0,0
DuPage,2628,133,0
Effingham,5,1,0
Fayette,16,2,0
Ford,8,1,0
Franklin,8,0,0
Fulton,3,0,0
Gallatin,2,0,0
Greene,2,0,0
Grundy,30,0,0
Hamilton,2,0,0
Hancock,5,0,0
Hardin,1,0,0
Henderson,4,0,0
Henry,36,0,0
Iroquois,18,0,0
Jackson,68,7,0
Jasper,42,3,0
Jefferson,83,8,0
Jersey,12,1,0
Jo Daviess,11,0,0
Johnson,4,0,0
Kane,1185,39,0
Kankakee,309,23,0
Kendall,218,5,0
Knox,36,0,0
Lake,3080,118,0
LaSalle,46,1,0
Lawrence,3,0,0
Lee,20,0,0
Livingston,20,1,0
Logan,4,0,0
McDonough,7,0,0
McHenry,538,28,0
McLean,92,3,0
Macon,103,11,0
Macoupin,30,0,0
Madison,306,17,0
Marion,26,0,0
Marshall,4,0,0
Mason,7,0,0
Massac,4,0,0
Menard,4,0,0
Mercer,7,0,0
Monroe,64,10,0
Montgomery,23,1,0
Morgan,18,1,0
Moultrie,4,0,0
Ogle,105,1,0
Peoria,68,2,0
Perry,9,0,0
Piatt,7,0,0
Pike,1,0,0
Pulaski,17,0,0
Randolph,109,1,0
Richland,3,0,0
Rock Island,323,8,0
St. Clair,403,24,0
Saline,3,0,0
Sangamon,113,8,0
Schuyler,1,0,0
Shelby,10,0,0
Stark,1,0,0
Stephenson,16,0,0
Tazewell,37,3,0
Unassigned,338,0,0
Union,8,0,0
Vermilion,14,0,0
Wabash,1,0,0
Warren,50,0,0
Washington,8,0,0
Wayne,2,0,0
White,1,0,0
Whiteside,67,5,0
Will,2173,136,0
Williamson,25,0,0
Winnebago,343,8,0
Woodford,11,1,0
