County,Tested,Positive_Cases,Deaths
Illinois,918273,121234,5412
Adams,4321,44,1
Alexander,220,8,0
Bond,352,12,1
Boone,3075,463,17
Brown,397,10,0
Bureau,1071,15,1
Calhoun,62,1,0
Carroll,263,15,2
Cass,962,73,0
Champaign,13666,645,7
Chicago,257538,45837,2132
Christian,1227,35,4
Clark,371,11,0
Clay,353,2,0
Clinton,1857,186,17
Coles,2699,127,15
Cook,205718,32658,1526
Crawford,321,11,0
Cumberland,329,10,0
De Witt,582,4,0
DeKalb,4652,418,4
Douglas,839,28,0
DuPage,57526,7765,374
Edgar,688,1,0
Edwards,133,2,0
Effingham,719,7,1
Fayette,614,21,3
Ford,577,20,1
Franklin,1550,12,0
Fulton,1138,11,0
Gallatin,94,2,0
Greene,282,5,0
Grundy,1644,99,2
Hamilton,196,2,0
Hancock,709,17,0
Hardin,66,1,0
Henderson,225,8,0
Henry,1551,69,0
Iroquois,1299,132,4
Jackson,2847,289,10
Jasper,471,45,7
Jefferson,1336,101,16
Jersey,279,24,1
Jo Daviess,600,32,0
Johnson,315,9,0
Kane,35467,6404,178
Kankakee,7901,915,48
Kendall,6287,804,19
Knox,1898,101,0
Lake,46450,8408,292
LaSalle,3363,153,13
Lawrence,430,4,0
Lee,1371,81,1
Livingston,1231,34,2
Logan,1533,11,0
Macon,3694,194,19
Macoupin,2535,45,2
Madison,6402,594,60
Marion,1549,50,0
Marshall,393,5,0
Mason,731,18,0
Massac,295,7,0
McDonough,1408,89,11
McHenry,12704,1585,72
McLean,7644,220,13
Menard,731,20,0
Mercer,463,17,0
Monroe,561,96,12
Montgomery,1320,39,1
Morgan,1460,36,1
Moultrie,384,11,0
Ogle,2585,211,3
Out Of State,5071,118,1
Peoria,9321,238,9
Perry,751,41,0
Piatt,668,11,0
Pike,187,1,0
Pope,64,1,0
Pulaski,273,56,0
Putnam,121,1,0
Randolph,1677,269,4
Richland,489,3,0
Rock Island,6227,661,24
Saline,586,7,0
Sangamon,14392,350,29
Schuyler,269,13,0
Shelby,638,16,1
St. Clair,9047,1152,82
Stark,132,3,0
Stephenson,2522,209,2
Tazewell,6096,73,5
Unassigned,25607,93,0
Union,1239,155,11
Vermilion,2541,40,1
Wabash,297,5,0
Warren,740,117,0
Washington,414,18,0
Wayne,592,9,1
White,318,2,0
Whiteside,2122,142,13
Will,42728,5613,277
Williamson,2422,67,2
Winnebago,20342,2290,55
Woodford,1184,21,2
