County,Tested,Positive_Cases,Deaths
Illinois,"6,411,254","324,743","9,026"
Adams,"34,791","1,432",11
Alexander,"2,203",101,1
Bond,"6,972",392,9
Boone,"18,805","1,464",24
Brown,"1,840",80,0
Bureau,"11,096",798,15
Calhoun,"1,441",66,0
Carroll,"5,705",287,6
Cass,"5,223",434,11
Champaign,"641,675","5,434",27
Chicago,"1,308,364","85,640","2,995"
Christian,"13,039",712,21
Clark,"5,218",234,4
Clay,"4,084",252,6
Clinton,"15,382","1,438",23
Coles,"25,453","1,662",37
Cook,"1,125,903","71,086","2,320"
Crawford,"5,129",576,6
Cumberland,"4,347",237,5
De Witt,"4,802",204,3
DeKalb,"37,645","1,912",41
Douglas,"9,225",398,8
DuPage,"373,724","19,640",585
Edgar,"4,289",133,8
Edwards,979,83,0
Effingham,"13,590",995,3
Fayette,"7,327",550,15
Ford,"5,807",157,6
Franklin,"13,749",698,5
Fulton,"12,118",301,0
Gallatin,924,89,2
Greene,"4,314",248,15
Grundy,"12,212",795,7
Hamilton,"1,738",91,2
Hancock,"6,168",254,3
Hardin,"1,191",46,0
Henderson,"1,514",90,0
Henry,"18,792",760,5
Iroquois,"12,417",422,19
Jackson,"20,581","1,356",24
Jasper,"3,077",228,10
Jefferson,"11,356",796,39
Jersey,"7,192",431,20
Jo Daviess,"6,329",369,2
Johnson,"3,213",265,0
Kane,"199,135","14,436",335
Kankakee,"58,050","2,999",78
Kendall,"39,021","2,305",26
Knox,"20,437",909,5
Lake,"283,617","18,521",499
LaSalle,"34,687","2,004",58
Lawrence,"5,863",288,6
Lee,"8,923",517,1
Livingston,"14,345",485,9
Logan,"16,423",513,3
Macon,"44,570","2,115",48
Macoupin,"20,696",654,8
Madison,"88,014","6,426",148
Marion,"15,575",757,7
Marshall,"5,063",127,1
Mason,"5,339",209,1
Massac,"3,099",131,2
McDonough,"9,919",576,15
McHenry,"87,909","5,202",119
McLean,"86,844","3,712",29
Menard,"5,371",152,1
Mercer,"5,446",183,6
Monroe,"9,562",808,27
Montgomery,"15,113",482,14
Morgan,"14,675",757,24
Moultrie,"5,871",280,4
Ogle,"16,997",926,6
Out Of State,"50,271",3,1
Peoria,"99,564","3,985",56
Perry,"7,035",377,16
Piatt,"9,083",177,0
Pike,"4,307",201,2
Pope,681,36,1
Pulaski,"1,736",212,1
Putnam,"1,377",75,0
Randolph,"13,467","1,069",13
Richland,"7,105",294,11
Rock Island,"66,428","3,411",83
Saline,"7,540",443,6
Sangamon,"117,471","3,052",50
Schuyler,"2,105",73,1
Scott,"2,433",84,0
Shelby,"7,739",512,7
St. Clair,"93,849","7,294",205
Stark,"2,292",69,2
Stephenson,"14,444",707,7
Tazewell,"66,889","2,164",44
Unassigned,"60,418",31,0
Union,"7,431",668,25
Vermilion,"31,928","1,323",6
Wabash,"2,662",185,4
Warren,"4,624",399,6
Washington,"3,647",262,1
Wayne,"4,991",390,7
White,"6,052",210,1
Whiteside,"16,965","1,019",21
Will,"244,620","15,766",404
Williamson,"28,971","1,575",56
Winnebago,"114,249","8,063",158
Woodford,"14,803",494,9
