Zip,Tested,Positive_Cases
60002,"3,747",196
60004,"18,678",620
60005,"9,875",413
60007,"8,411",555
60008,"8,258",528
60010,"11,154",485
60012,"2,358",148
60013,"4,810",287
60014,"10,018",638
60015,"7,886",332
60016,"17,500","1,485"
60018,"11,113",909
60020,"2,519",104
60021,916,52
60022,"2,413",75
60025,"11,917",647
60026,"6,374",250
60029,215,18
60030,"8,866",414
60031,"10,864",625
60033,"3,760",441
60034,448,19
60035,"11,606",403
60040,"2,134",206
60041,"2,043",104
60042,"1,662",107
60043,762,33
60044,"4,034",160
60045,"6,150",214
60046,"7,795",448
60047,"13,699",767
60048,"7,215",338
60050,"7,122",402
60051,"4,895",248
60053,"8,440",453
60056,"13,891",963
60060,"8,425",740
60061,"6,381",325
60062,"16,439",528
60064,"4,869","1,039"
60067,"14,192",542
60068,"11,128",583
60069,"5,471",143
60070,"5,180",365
60071,828,46
60073,"17,012","1,824"
60074,"9,096",732
60076,"11,629",779
60077,"8,320",592
60079,212,17
60081,"1,702",112
60083,"2,650",186
60084,"4,548",273
60085,"24,690","3,363"
60087,"8,843","1,038"
60088,"1,650",525
60089,"10,492",506
60090,"12,533","1,110"
60091,"7,509",294
60093,"5,997",279
60096,"1,377",104
60097,"2,153",113
60098,"9,175",638
60099,"8,732",906
60101,"10,050","1,163"
60102,"6,398",448
60103,"10,609",632
60104,"6,232",659
60106,"7,329",696
60107,"11,058","1,014"
60108,"9,992",532
60109,457,19
60110,"8,647","1,158"
60112,"1,045",65
60115,"11,100",670
60118,"3,509",176
60119,"2,333",103
60120,"13,304","1,844"
60123,"15,308","1,371"
60124,"5,552",350
60126,"15,083",759
60130,"8,729",270
60131,"5,065",563
60133,"11,139","1,112"
60134,"7,591",417
60135,"1,621",105
60136,"1,692",126
60137,"11,402",500
60139,"9,496",965
60140,"3,834",238
60141,"1,499",29
60142,"6,408",309
60143,"3,296",307
60145,419,25
60146,570,30
60148,"15,024",760
60150,354,14
60151,808,32
60152,"2,507",137
60153,"7,030",726
60154,"5,441",328
60155,"2,281",248
60156,"5,607",388
60157,584,35
60160,"7,668","1,056"
60162,"3,595",226
60163,"1,635",170
60164,"10,469",806
60165,"1,250",236
60168,52,7
60169,"8,097",615
60171,"2,889",212
60172,"6,284",424
60173,"2,617",183
60174,"9,617",509
60175,"7,809",405
60176,"2,739",307
60177,"6,645",576
60178,"4,671",185
60180,280,7
60181,"7,584",519
60184,550,34
60185,"10,746","1,088"
60187,"11,627",333
60188,"11,709",852
60189,"8,587",345
60190,"3,629",145
60191,"3,482",340
60192,"3,229",150
60193,"11,101",529
60194,"7,190",291
60195,894,39
60201,"14,623",478
60202,"11,978",569
60203,"1,502",49
60301,"1,016",55
60302,"12,369",421
60304,"5,828",175
60305,"3,880",145
60401,"2,208",84
60402,"20,112","2,279"
60403,"5,265",395
60404,"5,128",287
60406,"8,029",815
60407,311,8
60408,"1,454",66
60409,"12,225","1,027"
60410,"2,657",164
60411,"17,325","1,478"
60415,"4,019",399
60416,"1,803",107
60417,"5,027",292
60418,"1,960",202
60419,"8,426",624
60420,"1,023",34
60421,669,33
60422,"3,309",189
60423,"7,082",435
60424,365,16
60425,"3,575",251
60426,"8,465",723
60428,"3,700",343
60429,"5,546",398
60430,"6,587",414
60431,"6,942",480
60432,"5,469",733
60433,"4,930",507
60434,"1,897",268
60435,"15,504","1,212"
60436,"5,214",464
60438,"8,896",767
60439,"6,945",328
60440,"17,480","1,342"
60441,"6,977",540
60442,"2,041",125
60443,"7,140",615
60444,264,9
60445,"6,115",364
60446,"11,607",914
